 ,Area,X,Y
1,1401652,1023.829,740.783
2,107,1773.332,13.724
3,2708,308.704,30.331
4,213,491.969,15.430
5,3375,666.473,42.211
6,71,489.331,27.486
7,44,269.659,32.091
8,51,1963.088,45.265
9,39,1710.192,45.551
10,4201,1707.621,88.047
11,2924,1245.338,89.982
12,34,705.059,52.471
13,831,1359.969,92.508
14,4249,1041.291,119.366
15,16,1662.312,85.812
16,3903,1519.268,195.735
17,3322,187.954,189.838
18,19,1492.711,158.605
19,4407,1873.916,210.514
20,5379,718.064,211.558
21,74,287.527,187.973
22,786,288.452,220.079
23,1901,887.869,225.475
24,16,155.750,209.438
25,19,1637.921,237.711
26,67,599.336,248.082
27,776,567.537,257.981
28,66,908.455,261.258
29,31,945.597,260.500
30,22,593.318,262.364
31,37,900.203,269.905
32,182,407.401,293.670
33,3004,1399.386,336.952
34,427,1362.210,328.228
35,16,1353.000,332.000
36,2017,927.946,366.903
37,28,770.750,354.179
38,2708,742.592,385.131
39,16,1372.938,369.625
40,24,1556.000,372.500
41,1137,1554.168,395.650
42,36140,386.664,507.089
43,20,923.400,397.100
44,33,1969.045,397.924
45,3428,34.749,453.771
46,41,64.183,456.037
47,2957,678.942,551.764
48,6907,1086.293,574.578
49,35,1619.729,568.471
50,1244,156.999,606.486
51,5630,1498.006,648.039
52,4822,1952.510,658.510
53,71,458.232,627.683
54,20,435.150,636.250
55,27027,719.220,739.021
56,25,417.940,644.820
57,34704,494.307,755.054
58,3946,1309.617,725.893
59,21,1261.452,701.548
60,5177,1795.148,750.147
61,97,1256.985,724.490
62,20,981.350,749.700
63,16,1269.688,755.250
64,6987,976.487,808.366
65,44,935.227,773.614
66,24,620.667,792.250
67,41,909.012,813.646
68,3551,1959.765,849.485
69,50,1038.180,821.860
70,3643,288.319,863.767
71,16,941.188,838.750
72,114,253.789,855.658
73,3558,90.356,907.199
74,1550,1584.043,902.143
75,1411,1236.513,905.034
76,2700,738.870,958.956
77,123,1570.126,931.305
78,24,1594.417,940.583
79,26,1817.962,978.077
80,3571,1733.725,1039.764
81,2951,1857.625,1014.068
82,2139,1376.924,1035.456
83,48,1725.271,990.188
84,223,390.415,1021.742
85,25,417.860,1015.460
86,18,413.667,1025.333
87,32,1692.969,1028.469
88,127,396.650,1039.122
89,18,1701.500,1047.333
90,666,951.991,1090.752
91,18,1996.611,1096.667
92,30,1981.900,1107.233
93,869,1992.815,1128.826
94,4137,781.304,1159.286
95,2387,302.405,1175.064
96,7156,538.612,1188.858
97,51,266.990,1150.284
98,116,267.707,1172.784
99,45,1128.744,1183.611
100,25,1868.020,1185.580
101,1183,1855.526,1221.298
102,19,1830.132,1220.711
103,194,1888.634,1235.923
104,23,1877.022,1228.717
105,31188,1290.620,1338.361
106,272,1861.004,1252.860
107,19,1899.658,1249.658
108,3199,73.370,1285.830
109,105,1862.271,1270.852
110,1725,663.428,1320.159
111,17,666.735,1293.676
112,982,946.545,1309.017
113,2054,383.223,1334.861
114,3833,857.694,1372.637
115,22,637.364,1329.227
116,2727,273.158,1367.475
117,49,247.031,1347.459
118,2985,1632.530,1406.943
119,4173,1880.694,1456.584
120,30,1854.300,1426.667
121,20,1615.600,1442.950
122,19,1843.605,1458.237
123,75,2.007,1471.980
124,102,1126.529,1468.529
125,1365,484.562,1491.264
126,17,1116.147,1484.441
127,122,3.648,1498.951
