,random,strat,random_rich,strat_rich
0,44205.795909150904,45065.339395507144,56720.95179157087,59336.43321089056
1,46348.25612802587,46777.04919953903,59580.3960345229,57541.50907671258
2,45218.306772831726,43503.94818573139,62346.128138713546,58833.13298360599
3,46267.22539057672,44800.99569187085,57338.90725327786,57881.96876896491
4,46337.06621735996,44177.74300714896,54912.15871518716,49427.53377179469
5,44974.34802151956,45705.38517481576,49794.98704115501,59364.442326180506
6,44897.50355688568,44887.07921242311,55632.85426316003,54867.91582649059
7,45027.99728273441,45173.50082823452,57781.726552402564,55011.510801239776
8,45412.42834294946,45267.577627660765,58696.834431017,70691.82860660793
9,45006.70728807714,46035.54241965137,60383.67021711158,51584.89068039145
10,43928.515202632305,46739.15863473807,56856.95976729946,54434.55506750124
11,45760.784599429644,44353.826133523005,59626.844723902635,56060.03536883968
12,45696.88508971818,43868.65414499045,54614.46746345322,65212.82647231246
13,46085.7794677648,45285.23710845311,59865.966262587695,58494.2355455945
14,46389.30295511974,46270.38830815182,52082.122687468094,56947.49610142857
15,45736.08432928102,46221.99374414372,66975.96810620539,55616.246518669315
16,45205.522941302,46299.75983500478,58835.4739274745,57521.96054344727
17,46428.8210034679,44694.44768815041,54856.505454040576,60950.39193722701
18,44759.341791178216,45269.833724902346,47424.55601389173,52879.39121170586
19,46050.6044155365,45886.522405496726,61529.52529898568,60201.76465140251
20,46225.63444179456,46129.328414769654,65380.96209987358,60202.074900961285
21,45468.698553318616,44412.88821049967,58013.056894602705,60767.280008920425
22,44965.9340519862,43791.81280033686,63471.20934761983,52758.49932430206
23,44889.351305583936,44634.74117551795,57315.731350423484,61461.53980013171
24,45036.04984756786,45198.91479164589,48926.289510126946,62050.997158891
25,44842.83021058564,44499.03652639217,53967.749946379576,51896.48815075016
26,43927.083553202065,45893.7486112726,62310.79805839211,70933.6228120212
27,44618.679302689045,44904.23167095042,67463.1386857544,56425.993873419495
28,44894.32166671934,45661.63722938191,48214.65604749015,60412.54845077685
29,44717.70914937285,45134.01153028536,63499.90089456889,54064.62956646176
30,46373.17943229503,44787.08760699973,49417.363915567534,48651.13736415005
31,45237.021450921355,44934.19606648228,49864.11280913188,50982.78679636696
32,45051.88389199072,46135.148638637635,61709.1794806289,53716.993818722156
33,44794.43063090933,45716.55532115407,56712.080268555634,60680.872336019675
34,44382.41633912811,44913.01567751009,63747.450772040014,49993.612388809626
35,46336.026536082165,44402.001863846424,63494.44855435964,61329.47005690101
36,45698.56673095961,45360.59619305754,52870.61686756632,55708.0535185479
37,45283.5576284301,45570.74979988154,51981.25390227795,63467.80115282554
