,random,strat,random_rich,strat_rich
0,44265.25857886723,43284.31592989385,61128.85476097344,58661.25266820659
1,44279.82478869184,44181.86792456241,49454.13473395274,58087.21921824057
2,44602.36400588314,42529.095151700574,56684.95737532704,48705.805763577766
3,44044.05846196027,42661.0934585015,54483.63602310556,54412.5503700918
4,45255.130574920004,44652.31230212799,52994.311162195096,53738.097923286216
5,44823.3176192924,44373.89221912616,57996.06260711091,67435.315512378
6,43063.55752939595,44282.246373994116,52106.257134241394,53715.83562290236
7,44708.95994244688,43157.33581228663,55014.74810711777,75010.7030532289
8,43506.12278519405,43356.20268742187,65651.51824061114,55391.16497226004
9,44056.4715291018,44336.37624823943,65644.65011379139,63979.653246354894
10,44110.944861804266,42843.092394767235,52684.17132779761,62845.97932107827
11,44636.10074878302,42872.36940877824,55269.73075975654,64588.88541910705
12,43385.38818052518,42245.450242062245,49643.83797351632,53184.456947435785
13,44178.070508041696,44246.635712978255,50952.81772858846,62008.334502531005
14,44526.409691949506,45356.435809747585,68804.90277227812,60188.99233327667
15,43685.95836770345,44243.722072175726,53785.17924645013,59796.97064843803
16,44145.00166613958,44836.81240192778,59039.28410966564,74455.91354023608
17,43238.50613709506,44747.302148681876,60240.90234109447,79242.21245499083
18,44555.42006916942,44382.85911970233,54167.1553921126,58121.8717690381
19,43236.3964237349,44787.553825968775,58460.112415016694,56524.97832606311
20,43620.094558503435,44861.88471226821,55978.954819986546,60488.79857867953
21,44895.12063295944,44190.295237641185,54047.458645823375,61764.72861940358
22,45119.940122891494,41678.80592903518,52331.00158227501,53891.29555859766
23,43343.06624859454,43987.663357124184,56773.61014374732,58900.20462680384
24,44678.360238602654,43130.300117686034,52757.81863200715,59696.79856349216
25,43087.546785914245,43566.3253735561,54918.83353506201,48101.746165050856
26,44035.59132161527,43745.8122540615,53406.97521947295,59712.23137044952
27,44528.826515304085,43265.996921384176,55612.15710862917,55452.13037114456
28,43382.46557004252,43868.830898795975,54631.6428285673,50718.16973032101
29,44611.94718778155,43718.8738754058,54592.204867250824,51801.99314974005
30,44911.142598423125,44051.25362974046,60773.22105178025,51814.057147604624
31,43458.09703528028,43582.63613327419,51427.669194473194,53407.032498702465
32,43005.058812919946,44073.32755773254,60648.39040026598,53027.50341785062
33,43212.640365017935,44851.59511707075,57441.85680383161,56114.653889257046
34,43028.026324821985,43081.89781849883,55242.73194880477,53127.37986004628
35,44106.43622486999,42347.737422929364,57449.104871881435,55926.041978925816
36,43736.04335465481,44149.53083037844,56591.40943837874,67481.43426510874
37,42017.58124052264,43253.76931225292,51466.80749942634,59239.92944354501
38,43225.87992143475,44222.69391338428,57386.39494150783,54848.190174305884
39,43626.60872338875,44562.63770926892,56393.08429882166,64066.41434344048
40,44369.4296187035,43072.04295039245,48266.88588842264,57118.0332002658
41,43919.464324435336,43777.42317665348,57407.887729553535,50278.674165823184
42,45122.018929402584,42939.046820727955,59380.57210005048,65460.10415900616
43,42574.52900310207,43175.346973553984,61445.374039136,52524.97706684903
44,43678.41913680699,43779.1152369928,59231.410148232564,62308.72305488341
45,42382.759726543074,43416.016131970246,56000.29371340524,63475.29603449414
46,44427.894326712114,43997.06777086119,63172.75921951967,56635.803445389225
47,42922.95360206726,44282.4660173679,60695.65157857641,50279.90425354877
48,44533.84020455914,43895.512311978324,62097.89260237875,58284.14373117435
49,43266.44127923402,41739.78292516361,52835.967040750875,60972.16043226432
50,43943.89866020973,42228.86594482129,59802.338856497525,49360.35276494046
51,43614.607119212465,43412.081082885656,65677.9906614605,54031.44892281172
52,43872.751279428034,43921.12297137112,61529.956743928575,51382.595643655106
53,43679.22847397096,43701.376561749625,64398.573264540355,58767.27173607421
