,random,strat,random_rich,strat_rich
0,42924.090832562266,43015.131689917165,59698.08402344964,57380.564068770196
1,45177.046499148164,44752.03056237222,60257.38713253674,60977.77748772904
2,43281.00903460412,44317.235349215545,62944.74018857659,48382.44769799888
3,44890.63970218894,44247.576146538144,52626.198218082296,48876.142596740145
4,45265.70098814759,43360.463738927094,48436.191651966525,51368.57228107919
5,42921.3271958979,44380.332990939874,49428.618860345625,54340.044068550225
6,42901.18496079244,43523.25210827567,52696.89801463501,49665.31399286289
7,44063.803015486395,45309.996311357645,56766.04623662904,53959.188914187485
8,43558.95548863642,43345.48391918243,60847.18841806775,47408.070694647846
9,44220.92140113876,44221.12543642894,55491.628453092526,47150.66965711444
10,42941.79167461914,44125.07129002776,55946.419310038305,52798.65481012234
11,44479.77693929299,44347.12320792836,57754.704667805476,55302.82168781681
12,43782.32394709904,44294.60472303798,57948.272342043994,63734.633717506134
13,44250.41990741638,43768.87688314332,53339.17105168326,51857.90867155597
14,44633.9550994916,42686.58858664518,51455.52667940248,56103.26477880392
15,44447.865018944794,43622.50539264425,68112.4978373921,52683.08916433186
16,44230.35622222244,43719.27188524602,58328.47756187358,48364.02487816186
17,45002.703311556266,44416.498804067334,53941.846395014574,56768.31045841277
18,43010.217707407784,43126.07017231429,45156.322734230256,60491.38859808857
19,44182.47139905905,43422.85063703931,60882.1609994501,48787.834743936015
20,43879.93286967851,45194.79151387577,63375.775875864965,55323.65260319584
21,44045.65319451151,43988.64311973347,56695.07762290009,60995.469777134545
22,43208.82010960407,42934.4943978033,56447.694514916926,54152.87170602923
23,43585.082799637814,43755.21015529389,59364.158690141514,57892.495486508386
24,43363.1237558056,44163.580300311616,50263.33467918634,53213.350698791684
25,43209.03278665597,43066.03769473057,49259.63054960156,57479.58615015907
26,42828.114514101326,43220.43621991303,62763.281774883624,59435.34916016444
27,44715.519135072114,43717.16647941904,68238.04200221674,61217.772668557576
28,43913.381171590845,42902.4888015146,51421.97455908861,53719.19136223028
29,43328.59243552644,44798.577962088384,61990.25820293787,62489.32492666775
30,44050.58228443835,44126.65310318461,48589.90502671363,51504.15530662192
31,42859.766295533525,44250.52303710109,52558.26417887802,60575.558894877155
32,43565.02419969488,43801.183393570805,60692.621066379485,51617.996407649305
33,43354.71802390704,43628.35748129306,54304.69893759203,60405.12033596103
34,43047.06240246543,43723.52430216942,60726.166510038944,52169.720901160596
35,44424.623153525754,43801.41583685935,59878.559639606305,53694.13615552376
36,44419.30019382737,43110.54868246933,53064.74936761719,49164.08332196268
37,43112.45756671214,43471.09938010651,45983.14817294551,50407.922648136206
38,43877.61661219714,45172.14361120917,60239.24094412055,60275.671239043295
39,42945.60852971748,45115.468659238766,48373.33076964107,55433.88908363907
40,44066.36939668035,43422.3112918223,51850.11993271604,53854.0764451351
41,42964.940350619334,42551.56716715845,47260.98075245055,63079.08179088628
42,43868.567200131416,44569.231506017386,51036.1990285274,59138.00993304204
43,43367.92699260392,43607.66962713198,46854.11970677426,52410.06553827469
44,43037.31592574042,43109.76229556241,57600.89406918477,54992.32787362017
45,43253.35103630018,43500.40698579117,56857.12340051492,53911.4406833461
46,44279.89493875724,43862.477166410514,59655.00939238303,54555.99126521996
47,43957.46923301133,43877.59258977521,52125.1842785076,55320.37982364662
48,42314.7196133343,43310.387812362416,55260.048870495855,49460.52195646664
49,43524.7102014697,43473.11761002651,54822.068016626166,45349.522551534916
50,43682.750596581,43318.70768072915,64247.31667919051,54692.901936377646
51,43344.85282669329,44512.77154306018,52804.331575952965,57803.46410171115
52,45308.11301908168,44821.2510662398,56398.86999080137,55240.25889164043
53,44398.95413872097,44688.71638416873,61093.27136249954,60273.16477595564
54,43641.31985222202,42613.654909237644,57239.280873827534,64596.341318647705
55,43700.496512332655,44389.32859510388,54999.95356945897,55124.85330604411
56,44218.63612562966,43647.445829686054,58939.85891333877,56991.16223685818
57,43646.04920569552,42517.11253011861,52564.62620573029,56277.42537576071
58,43241.66596051117,42670.68928763289,54089.12390960536,57630.37332963168
59,44641.18279271217,45108.45206570954,60711.861735383674,56930.86220298726
60,44234.58211763363,44379.266816166506,55652.52935917714,64707.78544800109
61,44938.41280562866,43111.115777301144,64377.71032225623,56441.300600947965
62,44863.754340278836,44278.10852217276,60850.84958751512,55665.390774813764
63,44054.02694440256,42880.78633588579,50637.458459995294,54632.57263679474
64,42956.72819139846,42526.45700144624,45604.88602024272,63013.02795413398
65,43646.32143928428,42216.48041419103,52567.90652907045,52716.40819283521
66,43306.15253073009,42118.03924379466,48615.41024960474,56338.44828992529
67,43724.65619866592,42626.504357665784,60172.38310669387,56318.91998385754
68,43744.96001390328,44989.87744265581,47621.643266559026,67556.10432136318
69,42928.057643505745,43838.349672588876,56547.798896769134,58525.07209124158
70,44022.27614839448,43033.46282311481,60287.528984949386,61593.33997133518
71,43178.152929500335,42665.50455513903,58210.8256307539,62212.904796259165
72,43817.85300617539,44302.13025133419,65562.96384775794,56471.588766761204
73,45441.489440893274,44855.22458837623,57674.695284979854,53818.19924718162
74,43270.44691087205,44488.50255975561,55169.0328693053,64730.09343151123
75,43592.74663079646,42417.181033360874,48283.10179363806,56164.40194548251
76,44336.13422383135,43577.29521344465,51372.54372252952,64573.70697153051
77,42078.581403324104,43662.14545266976,58881.30646344178,60400.20240098964
78,42872.67471608526,43124.340851887224,49611.02193138157,67674.12192694435
79,44399.09151092694,43968.561363968365,48169.83461143556,56104.75682009672
80,43985.350269637376,43556.37052724174,55006.12420578685,60205.86358874847
81,43747.083956439186,43244.396341998836,58243.22917091841,49485.856129239604
82,45054.68516112875,44067.80163683527,65891.24428042638,51789.63529659762
83,43883.56092920737,43312.73823078141,57786.43589914441,59461.864074607125
84,43867.00870132643,43929.476391022166,57389.301067681925,49474.25919146525
85,42647.65214886029,43544.076767281826,48704.999200622275,56050.79211122976
86,44135.47155395388,44258.23135396873,56253.18707020568,64750.05890484081
87,43810.728156628145,42894.259042617276,55286.08378512893,56212.458713827706
88,43674.02673555233,43580.73086373103,56029.88352037149,55604.294130623544
89,43118.177687650714,44135.77380743889,46667.81471953447,45795.65593916688
90,43081.416645414785,43523.525991080205,69709.99171759734,60954.60489289511
91,42651.89140490831,43584.63219864123,66289.02915697343,56147.318025147644
92,45448.790298927874,43805.244412561995,59971.82723961237,55080.14981555246
93,44184.69191721908,44755.65397339331,54070.89952846164,47877.65919255508
94,42961.6474365198,44183.50877467109,54966.780973726294,62613.88033389233
95,43753.60969376866,43760.733539869216,57145.1633588749,51146.470607027775
96,44494.89512161037,42474.110483740034,62549.44847138201,50946.17106372912
97,43333.18354917177,44005.03206202962,52525.734897953094,53140.371858465944
98,43845.122542871744,44814.233580272725,57033.53609370413,57993.504993378956
99,43840.264014405955,44855.72784629478,63100.52220549613,62538.76651510065
