,random,strat,random_rich,strat_rich
0,44397.847595488005,44586.18178473947,56557.428051440605,56462.05227853506
1,45602.7487122155,44806.2161259185,58477.25528787142,65083.122624560725
2,45180.175493634364,44837.30578616193,64283.347712670875,56277.68947539701
3,45865.20820175808,45098.78179455462,59963.9026924625,48137.58199329326
4,45793.112158398006,45934.38369267419,55250.26653674127,59818.51638292635
5,45177.066194783634,44754.213258248885,47649.68377656099,54254.648810515166
6,44372.04392220369,43627.78747930193,53618.11224171216,53330.07917155612
7,45516.35777198531,45896.40151842218,59569.564687725695,61223.88710046775
8,45087.89488431605,46135.51753475379,60009.86152824993,59760.24630947738
9,45253.10461362774,44374.53917773288,64019.028769697725,57949.30116885045
10,44005.044686365014,45402.90551390624,56822.97320720636,57151.76076988555
11,45189.769023628796,45664.63519984472,55932.472814309374,57546.70470341653
12,45606.08063409704,45240.33354326698,56716.34442121007,63216.38171446735
13,45891.283702074186,43933.23229545762,56167.47786006594,49290.147423306335
14,45440.32857530135,45503.966775447574,45007.27028401971,51610.808932933374
15,45330.31239865315,44249.01156655084,65519.10300927344,57143.928016708334
16,44754.280067338725,45723.18841483439,55599.306666282595,63037.33588612361
17,46403.276165484174,45799.91401491883,54747.92605291133,53274.32093282337
18,44539.37043094461,44844.866493589645,42840.92548011438,58009.85159405748
19,45119.68489608155,45463.53116688439,56834.32653905691,61697.320438373674
20,45635.49808003954,45271.230674675724,63628.26245138698,46124.50300148128
21,45061.007737443615,44517.65875215168,58433.579988362944,46909.18254719833
22,44433.03051897776,45065.32488108282,58748.81477659206,52803.737078320446
23,44837.93372550438,46034.76341447143,60907.755183724075,53353.92544948839
24,44427.46055229386,43882.506319463464,49884.66573006178,52879.0914330896
25,44812.43991526212,44575.97590997503,49942.89143131156,64792.98959737993
26,44218.0422508055,46498.45521797532,60586.80454383158,54646.95463210743
27,44658.180899546394,45469.032211282545,68721.79830462982,53021.0326510305
28,44984.786200385664,46372.266868992025,50309.55040914568,67099.87409243487
