,random,strat,random_rich,strat_rich
0,44300.292991790644,43993.25832407368,59837.2021361053,54363.75448264474
1,45282.62826159728,45571.943777652275,57820.497704037,51763.56246311478
2,44101.38236291544,43826.70588506768,53407.776124246506,46336.987957560064
3,43927.90175532715,44149.175652102065,55439.776448516626,59525.21947023014
4,46157.27043456763,44642.422094130336,63689.96546126102,61869.707356716965
5,44691.54115050076,44949.43692533697,52623.2439728772,62606.46725916666
6,45975.19678594471,44223.55855103137,58844.21402444414,55359.04151787473
7,46026.00244568744,44704.75067149771,55269.74262181326,64263.48164101288
8,43886.74936649821,43946.696379866145,52525.601244641744,55161.43486145221
9,43471.498481572824,45738.48767376854,60274.72577356274,58738.40318613269
10,44502.26371637328,44422.19670985775,50563.0634545002,63894.389602728916
11,45430.59102078033,44244.05181322587,47616.9446587292,47018.90189516054
12,44824.78431868788,44719.281364229995,61092.942928407,51359.08225849429
13,45327.20775874533,44598.731984325466,58073.69977013647,60945.80855179629
14,44277.83816470689,44708.10876068304,52157.73030083538,52974.849139802776
15,44284.15902643549,44909.08745751747,61349.89507440926,56022.52259441903
16,44043.391725458634,43546.89869275317,61916.135110108255,58467.21665746966
17,44834.91668252071,44044.10656330408,45655.42622877871,51516.282197000255
18,45236.128457064675,44061.82743536871,62752.99147825003,53987.459490946916
19,43375.46749648407,45288.922714475935,57149.11547167504,47941.728452916046
20,44454.572394401526,44573.441764221316,54204.842385016644,59442.073937113346
21,44074.47344564045,44761.65703739555,54048.436210730426,54719.77223334287
22,45422.824160013566,43978.77422812512,46168.26918796293,50383.659370494286
23,41793.06242126632,44285.976993215925,58778.76092874371,58606.140538826505
24,44420.97808369024,44823.881340246175,53824.01483717319,55782.87805030213
25,43765.95912232698,44992.784304586545,59683.82030446767,57886.17631362915
26,44552.38304704357,45587.82365130761,55851.35271414651,53303.72418883465
27,44394.70910274986,43803.39470249636,56794.709654587175,58308.01872111557
28,44578.9016893697,44673.92617280011,62651.63670105076,54239.478413038945
29,45690.987452706664,43540.324287829215,61306.354011283875,55517.15187085746
30,45648.067174702715,45312.44165714745,66356.9642771639,60180.32488330037
