No.,mat,R_atomic(A),R_ionic(A),R_Waals(A),R,G,B
1,H,0.46,1.2,0.2,1.0,0.8,0.8
1,D,0.46,1.2,0.2,0.8,0.8,1.0
2,He,1.22,1.4,1.22,0.98907,0.91312,0.81091
3,Li,1.57,1.4,0.59,0.52731,0.87953,0.4567
4,Be,1.12,1.4,0.27,0.37147,0.8459,0.48292
5,B,0.81,1.4,0.11,0.1249,0.63612,0.05948
6,C,0.77,1.7,0.15,0.5043,0.28659,0.16236
7,N,0.74,1.55,1.46,0.69139,0.72934,0.9028
8,O,0.74,1.52,1.4,0.99997,0.01328,0.0
9,F,0.72,1.47,1.33,0.69139,0.72934,0.9028
10,Ne,1.6,1.54,1.6,0.99954,0.21788,0.71035
11,Na,1.91,1.54,1.02,0.97955,0.86618,0.23787
12,Mg,1.6,1.54,0.72,0.98773,0.48452,0.0847
13,Al,1.43,1.54,0.39,0.50718,0.70056,0.84062
14,Si,1.18,2.1,0.26,0.10596,0.23226,0.98096
15,P,1.1,1.8,0.17,0.75557,0.61256,0.76425
16,S,1.04,1.8,1.84,1.0,0.98071,0.0
17,Cl,0.99,1.75,1.81,0.19583,0.98828,0.01167
18,Ar,1.92,1.88,1.92,0.81349,0.99731,0.77075
19,K,2.35,1.88,1.51,0.63255,0.13281,0.96858
20,Ca,1.97,1.88,1.12,0.35642,0.58863,0.74498
21,Sc,1.64,1.88,0.745,0.71209,0.3893,0.67279
22,Ti,1.47,1.88,0.605,0.47237,0.79393,1.0
23,V,1.35,1.88,0.58,0.9,0.1,0.0
24,Cr,1.29,1.88,0.615,0.0,0.0,0.62
25,Mn,1.37,1.88,0.83,0.66148,0.03412,0.62036
26,Fe,1.26,1.88,0.78,0.71051,0.44662,0.00136
27,Co,1.25,1.88,0.745,0.0,0.0,0.68666
28,Ni,1.25,1.88,0.69,0.72032,0.73631,0.74339
29,Cu,1.28,1.88,0.73,0.1339,0.28022,0.86606
30,Zn,1.37,1.88,0.74,0.56123,0.56445,0.50799
31,Ga,1.53,1.88,0.62,0.62292,0.89293,0.45486
32,Ge,1.22,1.88,0.53,0.49557,0.43499,0.65193
33,As,1.21,1.85,0.335,0.45814,0.81694,0.34249
34,Se,1.04,1.9,1.98,0.6042,0.93874,0.06122
35,Br,1.14,1.85,1.96,0.49645,0.19333,0.01076
36,Kr,1.98,2.02,1.98,0.98102,0.75805,0.95413
37,Rb,2.5,2.02,1.61,1.0,0.0,0.6
38,Sr,2.15,2.02,1.26,0.0,1.0,0.15259
39,Y,1.82,2.02,1.019,0.40259,0.59739,0.55813
40,Zr,1.6,2.02,0.72,0.0,1.0,0.0
41,Nb,1.47,2.02,0.64,0.29992,0.70007,0.46459
42,Mo,1.4,2.02,0.59,0.70584,0.52602,0.68925
43,Tc,1.35,2.02,0.56,0.80574,0.68699,0.79478
44,Ru,1.34,2.02,0.62,0.81184,0.72113,0.68089
45,Rh,1.34,2.02,0.665,0.80748,0.82205,0.67068
46,Pd,1.37,2.02,0.86,0.75978,0.76818,0.72454
47,Ag,1.44,2.02,1.15,0.72032,0.73631,0.74339
48,Cd,1.52,2.02,0.95,0.95145,0.12102,0.86354
49,In,1.67,2.02,0.8,0.84378,0.50401,0.73483
50,Sn,1.58,2.02,0.69,0.60764,0.56052,0.72926
51,Sb,1.41,2.0,0.76,0.84627,0.51498,0.31315
52,Te,1.37,2.06,2.21,0.67958,0.63586,0.32038
53,I,1.33,1.98,2.2,0.55914,0.122,0.54453
54,Xe,2.18,2.16,0.48,0.60662,0.63218,0.97305
55,Cs,2.72,2.16,1.74,0.05872,0.99922,0.72578
56,Ba,2.24,2.16,1.42,0.11835,0.93959,0.17565
57,La,1.88,2.16,1.16,0.3534,0.77057,0.28737
58,Ce,1.82,2.16,0.97,0.82055,0.99071,0.02374
59,Pr,1.82,2.16,1.126,0.9913,0.88559,0.02315
60,Nd,1.82,2.16,1.109,0.98701,0.5556,0.02744
61,Pm,1.81,2.16,1.093,0.0,0.0,0.96
62,Sm,1.81,2.16,1.27,0.99042,0.02403,0.49195
63,Eu,2.06,2.16,1.066,0.98367,0.03078,0.83615
64,Gd,1.79,2.16,1.053,0.75325,0.01445,1.0
65,Tb,1.77,2.16,1.04,0.44315,0.01663,0.99782
66,Dy,1.77,2.16,1.027,0.1939,0.02374,0.99071
67,Ho,1.76,2.16,1.015,0.02837,0.25876,0.98608
68,Er,1.75,2.16,1.004,0.28688,0.45071,0.23043
69,Tm,1.0,2.16,0.994,0.0,0.0,0.88
70,Yb,1.94,2.16,0.985,0.15323,0.99165,0.95836
71,Lu,1.72,2.16,0.977,0.15097,0.99391,0.71032
72,Hf,1.59,2.16,0.71,0.70704,0.70552,0.3509
73,Ta,1.47,2.16,0.64,0.71952,0.60694,0.33841
74,W,1.41,2.16,0.6,0.55616,0.54257,0.50178
75,Re,1.37,2.16,0.53,0.70294,0.69401,0.55789
76,Os,1.35,2.16,0.63,0.78703,0.69512,0.47379
77,Ir,1.36,2.16,0.625,0.78975,0.81033,0.45049
78,Pt,1.39,2.16,0.625,0.79997,0.77511,0.75068
