Category: All categories

Month,artificial intelligence: (Worldwide)
2010-10,40
2010-11,34
2010-12,30
2011-01,30
2011-02,35
2011-03,34
2011-04,33
2011-05,27
2011-06,27
2011-07,27
2011-08,32
2011-09,37
2011-10,41
2011-11,42
2011-12,36
2012-01,35
2012-02,36
2012-03,35
2012-04,30
2012-05,29
2012-06,30
2012-07,28
2012-08,28
2012-09,31
2012-10,32
2012-11,29
2012-12,26
2013-01,27
2013-02,32
2013-03,30
2013-04,32
2013-05,28
2013-06,27
2013-07,24
2013-08,27
2013-09,30
2013-10,30
2013-11,30
2013-12,29
2014-01,31
2014-02,35
2014-03,33
2014-04,32
2014-05,32
2014-06,29
2014-07,26
2014-08,31
2014-09,30
2014-10,32
2014-11,37
2014-12,37
2015-01,36
2015-02,38
2015-03,40
2015-04,38
2015-05,43
2015-06,37
2015-07,39
2015-08,37
2015-09,41
2015-10,41
2015-11,46
2015-12,39
2016-01,45
2016-02,44
2016-03,49
2016-04,45
2016-05,45
2016-06,41
2016-07,36
2016-08,35
2016-09,46
2016-10,54
2016-11,55
2016-12,54
2017-01,55
2017-02,57
2017-03,63
2017-04,62
2017-05,67
2017-06,56
2017-07,62
2017-08,71
2017-09,81
2017-10,84
2017-11,95
2017-12,82
2018-01,100
2018-02,93
2018-03,88
2018-04,90
2018-05,90
2018-06,73
2018-07,74
2018-08,75
2018-09,85
2018-10,91
2018-11,91
2018-12,84
2019-01,89
2019-02,91
2019-03,90
2019-04,91
2019-05,90
2019-06,90
2019-07,85
2019-08,84
2019-09,96
2019-10,92
2019-11,95
2019-12,88
2020-01,95
2020-02,98
2020-03,84
2020-04,82
2020-05,83
2020-06,78
2020-07,78
2020-08,83
2020-09,88
2020-10,85
