Category: All categories

Month,big data: (Worldwide)
2010-10,5
2010-11,6
2010-12,6
2011-01,8
2011-02,6
2011-03,7
2011-04,7
2011-05,9
2011-06,9
2011-07,8
2011-08,8
2011-09,10
2011-10,12
2011-11,14
2011-12,13
2012-01,16
2012-02,19
2012-03,23
2012-04,24
2012-05,25
2012-06,26
2012-07,26
2012-08,28
2012-09,32
2012-10,39
2012-11,40
2012-12,35
2013-01,41
2013-02,44
2013-03,51
2013-04,54
2013-05,55
2013-06,55
2013-07,53
2013-08,54
2013-09,58
2013-10,64
2013-11,63
2013-12,57
2014-01,67
2014-02,74
2014-03,74
2014-04,72
2014-05,71
2014-06,71
2014-07,75
2014-08,76
2014-09,85
2014-10,86
2014-11,84
2014-12,73
2015-01,80
2015-02,87
2015-03,90
2015-04,91
2015-05,83
2015-06,84
2015-07,80
2015-08,77
2015-09,88
2015-10,87
2015-11,88
2015-12,76
2016-01,78
2016-02,92
2016-03,89
2016-04,88
2016-05,88
2016-06,85
2016-07,77
2016-08,75
2016-09,88
2016-10,88
2016-11,93
2016-12,82
2017-01,87
2017-02,96
2017-03,100
2017-04,93
2017-05,95
2017-06,87
2017-07,80
2017-08,83
2017-09,94
2017-10,96
2017-11,99
2017-12,81
2018-01,86
2018-02,90
2018-03,93
2018-04,89
2018-05,84
2018-06,80
2018-07,79
2018-08,82
2018-09,90
2018-10,97
2018-11,89
2018-12,75
2019-01,79
2019-02,83
2019-03,84
2019-04,80
2019-05,77
2019-06,77
2019-07,76
2019-08,74
2019-09,87
2019-10,87
2019-11,99
2019-12,80
2020-01,75
2020-02,82
2020-03,72
2020-04,73
2020-05,72
2020-06,71
2020-07,69
2020-08,70
2020-09,80
2020-10,73
