Category: All categories

Month,data analysis: (Worldwide)
2010-10,73
2010-11,70
2010-12,60
2011-01,63
2011-02,65
2011-03,73
2011-04,76
2011-05,68
2011-06,64
2011-07,58
2011-08,59
2011-09,65
2011-10,68
2011-11,69
2011-12,59
2012-01,61
2012-02,74
2012-03,76
2012-04,75
2012-05,69
2012-06,63
2012-07,56
2012-08,61
2012-09,73
2012-10,74
2012-11,71
2012-12,60
2013-01,67
2013-02,75
2013-03,74
2013-04,79
2013-05,67
2013-06,62
2013-07,62
2013-08,62
2013-09,75
2013-10,80
2013-11,74
2013-12,67
2014-01,68
2014-02,78
2014-03,81
2014-04,84
2014-05,76
2014-06,69
2014-07,65
2014-08,65
2014-09,82
2014-10,82
2014-11,79
2014-12,68
2015-01,70
2015-02,81
2015-03,83
2015-04,90
2015-05,76
2015-06,70
2015-07,67
2015-08,69
2015-09,82
2015-10,84
2015-11,84
2015-12,71
2016-01,73
2016-02,88
2016-03,88
2016-04,89
2016-05,83
2016-06,73
2016-07,63
2016-08,70
2016-09,78
2016-10,83
2016-11,87
2016-12,75
2017-01,80
2017-02,89
2017-03,100
2017-04,95
2017-05,85
2017-06,72
2017-07,69
2017-08,74
2017-09,87
2017-10,93
2017-11,91
2017-12,77
2018-01,85
2018-02,91
2018-03,93
2018-04,96
2018-05,87
2018-06,74
2018-07,74
2018-08,80
2018-09,86
2018-10,93
2018-11,88
2018-12,73
2019-01,78
2019-02,89
2019-03,90
2019-04,91
2019-05,82
2019-06,75
2019-07,74
2019-08,75
2019-09,87
2019-10,90
2019-11,93
2019-12,73
2020-01,81
2020-02,96
2020-03,84
2020-04,90
2020-05,85
2020-06,83
2020-07,78
2020-08,78
2020-09,96
2020-10,92
