Category: All categories

Month,data engineering: (Worldwide)
2010-10,54
2010-11,46
2010-12,41
2011-01,42
2011-02,47
2011-03,52
2011-04,41
2011-05,38
2011-06,47
2011-07,41
2011-08,55
2011-09,55
2011-10,51
2011-11,47
2011-12,44
2012-01,49
2012-02,49
2012-03,46
2012-04,54
2012-05,48
2012-06,46
2012-07,37
2012-08,59
2012-09,48
2012-10,46
2012-11,36
2012-12,46
2013-01,48
2013-02,45
2013-03,54
2013-04,54
2013-05,45
2013-06,48
2013-07,53
2013-08,56
2013-09,50
2013-10,56
2013-11,46
2013-12,47
2014-01,57
2014-02,53
2014-03,49
2014-04,50
2014-05,47
2014-06,51
2014-07,49
2014-08,50
2014-09,57
2014-10,60
2014-11,50
2014-12,57
2015-01,46
2015-02,48
2015-03,50
2015-04,49
2015-05,59
2015-06,46
2015-07,51
2015-08,51
2015-09,54
2015-10,52
2015-11,49
2015-12,47
2016-01,47
2016-02,56
2016-03,58
2016-04,57
2016-05,55
2016-06,53
2016-07,52
2016-08,54
2016-09,55
2016-10,54
2016-11,59
2016-12,46
2017-01,60
2017-02,57
2017-03,61
2017-04,61
2017-05,55
2017-06,51
2017-07,49
2017-08,57
2017-09,60
2017-10,63
2017-11,66
2017-12,57
2018-01,61
2018-02,67
2018-03,63
2018-04,74
2018-05,66
2018-06,66
2018-07,62
2018-08,62
2018-09,74
2018-10,66
2018-11,71
2018-12,67
2019-01,69
2019-02,70
2019-03,74
2019-04,70
2019-05,79
2019-06,65
2019-07,74
2019-08,77
2019-09,86
2019-10,83
2019-11,80
2019-12,70
2020-01,79
2020-02,91
2020-03,73
2020-04,72
2020-05,84
2020-06,82
2020-07,85
2020-08,89
2020-09,91
2020-10,100
