Category: All categories

Month,deep learning: (Worldwide)
2010-10,3
2010-11,2
2010-12,2
2011-01,1
2011-02,2
2011-03,2
2011-04,3
2011-05,2
2011-06,2
2011-07,2
2011-08,2
2011-09,3
2011-10,2
2011-11,3
2011-12,3
2012-01,2
2012-02,3
2012-03,2
2012-04,3
2012-05,3
2012-06,2
2012-07,3
2012-08,3
2012-09,3
2012-10,4
2012-11,6
2012-12,5
2013-01,4
2013-02,3
2013-03,6
2013-04,6
2013-05,6
2013-06,7
2013-07,5
2013-08,5
2013-09,7
2013-10,7
2013-11,8
2013-12,7
2014-01,8
2014-02,11
2014-03,10
2014-04,9
2014-05,10
2014-06,8
2014-07,10
2014-08,10
2014-09,12
2014-10,12
2014-11,12
2014-12,18
2015-01,18
2015-02,19
2015-03,20
2015-04,19
2015-05,21
2015-06,22
2015-07,22
2015-08,23
2015-09,23
2015-10,24
2015-11,26
2015-12,28
2016-01,32
2016-02,32
2016-03,41
2016-04,41
2016-05,39
2016-06,44
2016-07,38
2016-08,37
2016-09,47
2016-10,53
2016-11,53
2016-12,58
2017-01,64
2017-02,68
2017-03,73
2017-04,71
2017-05,74
2017-06,76
2017-07,74
2017-08,81
2017-09,84
2017-10,87
2017-11,93
2017-12,93
2018-01,92
2018-02,92
2018-03,95
2018-04,97
2018-05,98
2018-06,87
2018-07,89
2018-08,86
2018-09,91
2018-10,100
2018-11,94
2018-12,85
2019-01,93
2019-02,95
2019-03,96
2019-04,97
2019-05,93
2019-06,91
2019-07,96
2019-08,90
2019-09,98
2019-10,97
2019-11,95
2019-12,90
2020-01,97
2020-02,99
2020-03,86
2020-04,91
2020-05,93
2020-06,93
2020-07,93
2020-08,87
2020-09,91
2020-10,78
