Category: All categories

Month,data science: (Worldwide)
2010-10,5
2010-11,6
2010-12,5
2011-01,6
2011-02,6
2011-03,6
2011-04,5
2011-05,5
2011-06,5
2011-07,5
2011-08,5
2011-09,7
2011-10,6
2011-11,7
2011-12,6
2012-01,6
2012-02,7
2012-03,7
2012-04,6
2012-05,6
2012-06,5
2012-07,6
2012-08,7
2012-09,9
2012-10,7
2012-11,8
2012-12,7
2013-01,8
2013-02,8
2013-03,8
2013-04,9
2013-05,9
2013-06,8
2013-07,7
2013-08,9
2013-09,11
2013-10,11
2013-11,10
2013-12,10
2014-01,13
2014-02,12
2014-03,12
2014-04,12
2014-05,12
2014-06,12
2014-07,12
2014-08,15
2014-09,18
2014-10,16
2014-11,16
2014-12,15
2015-01,17
2015-02,18
2015-03,18
2015-04,19
2015-05,19
2015-06,19
2015-07,20
2015-08,22
2015-09,26
2015-10,25
2015-11,23
2015-12,21
2016-01,25
2016-02,26
2016-03,26
2016-04,25
2016-05,27
2016-06,26
2016-07,25
2016-08,28
2016-09,36
2016-10,32
2016-11,34
2016-12,32
2017-01,39
2017-02,42
2017-03,43
2017-04,41
2017-05,42
2017-06,42
2017-07,42
2017-08,45
2017-09,50
2017-10,51
2017-11,52
2017-12,47
2018-01,57
2018-02,55
2018-03,58
2018-04,58
2018-05,59
2018-06,56
2018-07,58
2018-08,61
2018-09,66
2018-10,67
2018-11,65
2018-12,59
2019-01,72
2019-02,75
2019-03,73
2019-04,76
2019-05,75
2019-06,79
2019-07,81
2019-08,84
2019-09,93
2019-10,88
2019-11,84
2019-12,80
2020-01,91
2020-02,96
2020-03,81
2020-04,83
2020-05,86
2020-06,90
2020-07,92
2020-08,94
2020-09,100
2020-10,88
