Category: All categories

Month,keras: (Worldwide)
2010-10,9
2010-11,9
2010-12,7
2011-01,7
2011-02,7
2011-03,7
2011-04,7
2011-05,6
2011-06,6
2011-07,8
2011-08,8
2011-09,9
2011-10,11
2011-11,10
2011-12,8
2012-01,9
2012-02,9
2012-03,9
2012-04,8
2012-05,8
2012-06,7
2012-07,9
2012-08,9
2012-09,14
2012-10,13
2012-11,13
2012-12,10
2013-01,11
2013-02,11
2013-03,13
2013-04,11
2013-05,12
2013-06,11
2013-07,11
2013-08,12
2013-09,17
2013-10,19
2013-11,18
2013-12,15
2014-01,15
2014-02,17
2014-03,16
2014-04,16
2014-05,16
2014-06,16
2014-07,14
2014-08,20
2014-09,24
2014-10,24
2014-11,23
2014-12,21
2015-01,23
2015-02,23
2015-03,23
2015-04,22
2015-05,23
2015-06,20
2015-07,17
2015-08,25
2015-09,25
2015-10,26
2015-11,25
2015-12,23
2016-01,26
2016-02,26
2016-03,28
2016-04,27
2016-05,27
2016-06,25
2016-07,25
2016-08,32
2016-09,33
2016-10,34
2016-11,34
2016-12,32
2017-01,32
2017-02,34
2017-03,39
2017-04,41
2017-05,38
2017-06,34
2017-07,35
2017-08,39
2017-09,42
2017-10,43
2017-11,45
2017-12,44
2018-01,45
2018-02,45
2018-03,48
2018-04,48
2018-05,47
2018-06,41
2018-07,47
2018-08,49
2018-09,53
2018-10,53
2018-11,53
2018-12,48
2019-01,48
2019-02,51
2019-03,53
2019-04,52
2019-05,48
2019-06,46
2019-07,54
2019-08,57
2019-09,58
2019-10,55
2019-11,56
2019-12,51
2020-01,47
2020-02,49
2020-03,56
2020-04,65
2020-05,53
2020-06,72
2020-07,63
2020-08,88
2020-09,100
2020-10,84
