Category: All categories

Country,keras: (9/24/10 - 10/23/20)
Indonesia,100
Timor-Leste,
Malaysia,23
Brunei,
South Korea,7
Singapore,6
China,5
St. Helena,
Taiwan,4
Hong Kong,3
Israel,2
Switzerland,2
India,2
Macao,
Latvia,
Lithuania,
Japan,1
United States,1
Armenia,
Germany,1
Canada,1
Norway,1
Estonia,
Finland,1
Ireland,1
Nepal,
Sweden,1
Netherlands,1
Ethiopia,
Bangladesh,
Denmark,1
Luxembourg,
Pakistan,1
Sri Lanka,
Tunisia,
Czechia,
Greece,1
Laos,
Austria,1
Portugal,
Russia,1
Belgium,1
Belarus,
Australia,1
France,1
Cambodia,
United Kingdom,1
Slovenia,
Lebanon,
New Zealand,
Slovakia,
Iran,1
Qatar,
Egypt,
Spain,1
United Arab Emirates,
Hungary,
Poland,<1
Romania,
Croatia,
Vietnam,<1
South Africa,
Italy,<1
Saudi Arabia,
North Macedonia,
Serbia,
Ukraine,<1
Morocco,
Jordan,
Algeria,
Bulgaria,
Syria,
Uruguay,
Côte d’Ivoire,
Philippines,
Chile,
Bolivia,
Thailand,<1
Kenya,
Turkey,<1
Colombia,
Nigeria,
Brazil,<1
Ghana,
Argentina,
Kazakhstan,
Costa Rica,
Mexico,<1
Puerto Rico,
Peru,
Ecuador,
Iraq,
Venezuela,
Eritrea,
Solomon Islands,
Central African Republic,
Turks & Caicos Islands,
Iceland,
San Marino,
Liechtenstein,
Greenland,
Cuba,
Åland Islands,
Seychelles,
Malta,
Cyprus,
Bhutan,
Madagascar,
Rwanda,
Jersey,
Papua New Guinea,
Gambia,
Faroe Islands,
Eswatini,
Benin,
Mongolia,
St. Lucia,
Andorra,
Maldives,
Myanmar (Burma),
Monaco,
Gibraltar,
French Polynesia,
Cameroon,
Botswana,
New Caledonia,
Senegal,
Gabon,
Zimbabwe,
Mauritius,
Cape Verde,
Fiji,
Cayman Islands,
Oman,
Suriname,
Guernsey,
Congo - Brazzaville,
Aruba,
Sierra Leone,
Bahrain,
Namibia,
Turkmenistan,
Togo,
Georgia,
Curaçao,
Uganda,
Angola,
Trinidad & Tobago,
Malawi,
Sudan,
Burkina Faso,
Belize,
Montenegro,
Isle of Man,
Kuwait,
Albania,
Mauritania,
Uzbekistan,
Réunion,
Zambia,
Guadeloupe,
Guam,
Azerbaijan,
Guinea,
Somalia,
Congo - Kinshasa,
Kosovo,
Bosnia & Herzegovina,
Moldova,
Mozambique,
Yemen,
Kyrgyzstan,
Afghanistan,
Panama,
Tanzania,
Mali,
Paraguay,
Bahamas,
Nicaragua,
Palestine,
Tajikistan,
Martinique,
Guatemala,
Jamaica,
El Salvador,
Honduras,
Dominican Republic,
Libya,
Anguilla,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Caribbean Netherlands,
St. Barthélemy,
Bermuda,
Barbados,
Bouvet Island,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Djibouti,
Dominica,
Western Sahara,
Falkland Islands (Islas Malvinas),
Micronesia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
French Guiana,
Guyana,
Heard & McDonald Islands,
Haiti,
British Indian Ocean Territory,
Kiribati,
St. Kitts & Nevis,
Liberia,
Lesotho,
St. Martin,
Marshall Islands,
Northern Mariana Islands,
Montserrat,
Mayotte,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Sint Maarten,
Chad,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
