Category: All categories

Month,machine learning: (Worldwide)
2010-10,8
2010-11,9
2010-12,8
2011-01,8
2011-02,9
2011-03,9
2011-04,8
2011-05,8
2011-06,8
2011-07,7
2011-08,8
2011-09,9
2011-10,13
2011-11,12
2011-12,10
2012-01,10
2012-02,11
2012-03,11
2012-04,11
2012-05,11
2012-06,10
2012-07,10
2012-08,10
2012-09,12
2012-10,11
2012-11,12
2012-12,10
2013-01,11
2013-02,12
2013-03,11
2013-04,13
2013-05,12
2013-06,11
2013-07,11
2013-08,11
2013-09,12
2013-10,14
2013-11,15
2013-12,14
2014-01,14
2014-02,16
2014-03,16
2014-04,17
2014-05,16
2014-06,15
2014-07,15
2014-08,16
2014-09,17
2014-10,18
2014-11,19
2014-12,17
2015-01,20
2015-02,21
2015-03,22
2015-04,23
2015-05,22
2015-06,22
2015-07,23
2015-08,23
2015-09,26
2015-10,26
2015-11,30
2015-12,27
2016-01,27
2016-02,30
2016-03,33
2016-04,33
2016-05,34
2016-06,34
2016-07,30
2016-08,33
2016-09,38
2016-10,43
2016-11,46
2016-12,46
2017-01,50
2017-02,55
2017-03,60
2017-04,59
2017-05,62
2017-06,64
2017-07,62
2017-08,63
2017-09,70
2017-10,73
2017-11,79
2017-12,72
2018-01,73
2018-02,76
2018-03,81
2018-04,81
2018-05,81
2018-06,79
2018-07,80
2018-08,80
2018-09,84
2018-10,90
2018-11,86
2018-12,79
2019-01,84
2019-02,90
2019-03,89
2019-04,86
2019-05,90
2019-06,90
2019-07,93
2019-08,90
2019-09,98
2019-10,96
2019-11,95
2019-12,88
2020-01,94
2020-02,100
2020-03,81
2020-04,89
2020-05,90
2020-06,89
2020-07,86
2020-08,85
2020-09,93
2020-10,78
