Category: All categories

Month,numpy: (Worldwide)
2010-10,12
2010-11,13
2010-12,10
2011-01,11
2011-02,13
2011-03,13
2011-04,13
2011-05,14
2011-06,14
2011-07,12
2011-08,13
2011-09,13
2011-10,14
2011-11,16
2011-12,12
2012-01,12
2012-02,17
2012-03,16
2012-04,16
2012-05,15
2012-06,15
2012-07,15
2012-08,15
2012-09,17
2012-10,18
2012-11,18
2012-12,14
2013-01,15
2013-02,19
2013-03,19
2013-04,21
2013-05,19
2013-06,19
2013-07,19
2013-08,18
2013-09,20
2013-10,22
2013-11,23
2013-12,19
2014-01,20
2014-02,24
2014-03,24
2014-04,25
2014-05,23
2014-06,22
2014-07,23
2014-08,20
2014-09,24
2014-10,27
2014-11,27
2014-12,22
2015-01,23
2015-02,29
2015-03,30
2015-04,30
2015-05,27
2015-06,28
2015-07,29
2015-08,26
2015-09,29
2015-10,33
2015-11,35
2015-12,31
2016-01,33
2016-02,44
2016-03,42
2016-04,46
2016-05,42
2016-06,43
2016-07,37
2016-08,36
2016-09,43
2016-10,48
2016-11,55
2016-12,48
2017-01,51
2017-02,65
2017-03,69
2017-04,66
2017-05,65
2017-06,63
2017-07,58
2017-08,58
2017-09,68
2017-10,77
2017-11,86
2017-12,68
2018-01,71
2018-02,84
2018-03,83
2018-04,84
2018-05,79
2018-06,76
2018-07,73
2018-08,70
2018-09,77
2018-10,89
2018-11,90
2018-12,72
2019-01,72
2019-02,88
2019-03,87
2019-04,91
2019-05,84
2019-06,85
2019-07,84
2019-08,80
2019-09,90
2019-10,97
2019-11,97
2019-12,75
2020-01,80
2020-02,97
2020-03,88
2020-04,100
2020-05,97
2020-06,90
2020-07,86
2020-08,79
2020-09,88
2020-10,80
