Category: All categories

Country,numpy: (9/24/10 - 10/23/20)
China,100
South Korea,98
St. Helena,94
Switzerland,70
Singapore,65
Israel,65
Norway,52
Hong Kong,46
Iceland,
Germany,44
Denmark,39
Austria,39
Finland,38
United States,37
Netherlands,36
Taiwan,36
Slovenia,35
Rwanda,
Sweden,34
Canada,31
Japan,29
Belgium,28
Luxembourg,
Czechia,26
Ireland,26
Estonia,
United Kingdom,26
New Zealand,25
France,24
Australia,23
Russia,22
India,21
Armenia,
Portugal,19
Macao,
Nepal,
Laos,
Chile,16
South Africa,15
Belarus,15
Croatia,14
Malta,
Spain,14
Hungary,13
Greece,13
Poland,12
Cyprus,
Lithuania,
North Macedonia,
Pakistan,11
Slovakia,11
Sri Lanka,
Bangladesh,
Latvia,
Italy,10
Ukraine,10
Colombia,10
Lebanon,
Serbia,
Tunisia,
Romania,8
Ethiopia,
United Arab Emirates,8
Iran,8
Senegal,
Uruguay,
Qatar,
Bulgaria,
Ecuador,
Myanmar (Burma),
Mauritius,
Kazakhstan,
Costa Rica,
Kenya,
Vietnam,6
Ghana,
Egypt,6
Morocco,
Brazil,6
Malaysia,6
Puerto Rico,
Argentina,6
Philippines,5
Mexico,5
Thailand,5
Guatemala,
Peru,5
Nigeria,
Turkey,4
Georgia,
Bosnia & Herzegovina,
Algeria,
Jordan,
Cambodia,
Saudi Arabia,
Oman,
Bolivia,
Indonesia,3
Azerbaijan,
Panama,
Dominican Republic,
Venezuela,
Iraq,
North Korea,
Svalbard & Jan Mayen,
Eritrea,
Micronesia,
Bermuda,
Liechtenstein,
Comoros,
U.S. Virgin Islands,
St. Martin,
Cuba,
Turks & Caicos Islands,
Madagascar,
Faroe Islands,
Monaco,
Antigua & Barbuda,
Åland Islands,
British Virgin Islands,
Jersey,
Grenada,
Botswana,
Togo,
French Polynesia,
San Marino,
Greenland,
South Sudan,
Guernsey,
Eswatini,
Somalia,
New Caledonia,
Mayotte,
Timor-Leste,
Mongolia,
French Guiana,
Sint Maarten,
Cameroon,
Bhutan,
Barbados,
Papua New Guinea,
Zimbabwe,
Cayman Islands,
Chad,
Benin,
Aruba,
Guadeloupe,
Namibia,
Gibraltar,
Isle of Man,
Réunion,
St. Vincent & Grenadines,
Malawi,
Burkina Faso,
Montenegro,
Burundi,
Côte d’Ivoire,
Palestine,
Fiji,
Guam,
Lesotho,
Bahrain,
Afghanistan,
Zambia,
Congo - Kinshasa,
Belize,
Cape Verde,
Trinidad & Tobago,
Uzbekistan,
Syria,
Niger,
Uganda,
Kyrgyzstan,
Moldova,
Sudan,
Paraguay,
Andorra,
Mauritania,
Sierra Leone,
Mali,
Maldives,
Bahamas,
Honduras,
Brunei,
Albania,
Suriname,
Tanzania,
El Salvador,
Turkmenistan,
Kuwait,
Gabon,
Guyana,
Guinea,
Nicaragua,
Jamaica,
Tajikistan,
Kosovo,
Libya,
Haiti,
Martinique,
Yemen,
Mozambique,
Angola,
Anguilla,
American Samoa,
Antarctica,
French Southern Territories,
Caribbean Netherlands,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Cook Islands,
Curaçao,
Christmas Island,
Djibouti,
Dominica,
Western Sahara,
Falkland Islands (Islas Malvinas),
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Kitts & Nevis,
Liberia,
St. Lucia,
Marshall Islands,
Northern Mariana Islands,
Montserrat,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
South Georgia & South Sandwich Islands,
Solomon Islands,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Seychelles,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Vanuatu,
Wallis & Futuna,
Samoa,
