Category: All categories

Month,pandas: (Worldwide)
2010-10,14
2010-11,15
2010-12,13
2011-01,15
2011-02,15
2011-03,17
2011-04,15
2011-05,17
2011-06,14
2011-07,12
2011-08,13
2011-09,15
2011-10,17
2011-11,17
2011-12,19
2012-01,19
2012-02,20
2012-03,20
2012-04,19
2012-05,19
2012-06,14
2012-07,15
2012-08,15
2012-09,20
2012-10,20
2012-11,19
2012-12,17
2013-01,20
2013-02,20
2013-03,23
2013-04,23
2013-05,26
2013-06,19
2013-07,19
2013-08,22
2013-09,25
2013-10,23
2013-11,23
2013-12,19
2014-01,21
2014-02,23
2014-03,24
2014-04,24
2014-05,25
2014-06,23
2014-07,22
2014-08,24
2014-09,24
2014-10,26
2014-11,26
2014-12,23
2015-01,29
2015-02,33
2015-03,30
2015-04,28
2015-05,30
2015-06,28
2015-07,25
2015-08,29
2015-09,29
2015-10,32
2015-11,33
2015-12,32
2016-01,37
2016-02,40
2016-03,42
2016-04,42
2016-05,44
2016-06,41
2016-07,36
2016-08,35
2016-09,42
2016-10,44
2016-11,45
2016-12,42
2017-01,47
2017-02,56
2017-03,58
2017-04,56
2017-05,57
2017-06,53
2017-07,50
2017-08,52
2017-09,56
2017-10,58
2017-11,61
2017-12,54
2018-01,60
2018-02,65
2018-03,68
2018-04,68
2018-05,68
2018-06,65
2018-07,69
2018-08,69
2018-09,69
2018-10,75
2018-11,76
2018-12,65
2019-01,73
2019-02,79
2019-03,81
2019-04,86
2019-05,84
2019-06,79
2019-07,86
2019-08,83
2019-09,88
2019-10,93
2019-11,92
2019-12,80
2020-01,86
2020-02,94
2020-03,93
2020-04,100
2020-05,96
2020-06,95
2020-07,91
2020-08,88
2020-09,92
2020-10,76
