Category: All categories

Month,pytorch: (Worldwide)
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,<1
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,<1
2016-03,0
2016-04,<1
2016-05,0
2016-06,0
2016-07,<1
2016-08,0
2016-09,<1
2016-10,<1
2016-11,<1
2016-12,<1
2017-01,2
2017-02,4
2017-03,6
2017-04,9
2017-05,10
2017-06,11
2017-07,13
2017-08,14
2017-09,19
2017-10,21
2017-11,29
2017-12,27
2018-01,27
2018-02,30
2018-03,38
2018-04,40
2018-05,48
2018-06,43
2018-07,42
2018-08,45
2018-09,44
2018-10,60
2018-11,63
2018-12,58
2019-01,58
2019-02,59
2019-03,68
2019-04,73
2019-05,70
2019-06,73
2019-07,76
2019-08,74
2019-09,75
2019-10,81
2019-11,84
2019-12,74
2020-01,75
2020-02,88
2020-03,85
2020-04,93
2020-05,95
2020-06,94
2020-07,100
2020-08,91
2020-09,89
2020-10,75
