Category: All categories

Month,scikit-learn: (Worldwide)
2010-10,0
2010-11,2
2010-12,0
2011-01,0
2011-02,0
2011-03,2
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,4
2011-10,2
2011-11,0
2011-12,0
2012-01,3
2012-02,6
2012-03,3
2012-04,0
2012-05,4
2012-06,5
2012-07,9
2012-08,4
2012-09,3
2012-10,5
2012-11,12
2012-12,5
2013-01,8
2013-02,6
2013-03,7
2013-04,11
2013-05,8
2013-06,13
2013-07,17
2013-08,10
2013-09,14
2013-10,13
2013-11,20
2013-12,11
2014-01,18
2014-02,15
2014-03,17
2014-04,25
2014-05,25
2014-06,14
2014-07,20
2014-08,13
2014-09,23
2014-10,17
2014-11,26
2014-12,22
2015-01,17
2015-02,28
2015-03,30
2015-04,30
2015-05,34
2015-06,30
2015-07,33
2015-08,23
2015-09,23
2015-10,33
2015-11,28
2015-12,32
2016-01,34
2016-02,32
2016-03,49
2016-04,45
2016-05,44
2016-06,38
2016-07,41
2016-08,32
2016-09,47
2016-10,48
2016-11,45
2016-12,46
2017-01,58
2017-02,50
2017-03,69
2017-04,81
2017-05,71
2017-06,85
2017-07,78
2017-08,76
2017-09,75
2017-10,79
2017-11,95
2017-12,80
2018-01,83
2018-02,79
2018-03,100
2018-04,85
2018-05,91
2018-06,82
2018-07,75
2018-08,78
2018-09,81
2018-10,91
2018-11,84
2018-12,70
2019-01,72
2019-02,92
2019-03,88
2019-04,86
2019-05,98
2019-06,78
2019-07,87
2019-08,72
2019-09,78
2019-10,86
2019-11,86
2019-12,82
2020-01,85
2020-02,89
2020-03,76
2020-04,73
2020-05,73
2020-06,79
2020-07,78
2020-08,66
2020-09,68
2020-10,59
