Category: All categories

Country,scikit-learn: (9/24/10 - 10/23/20)
China,100
South Korea,88
St. Helena,51
Japan,49
Taiwan,47
Hong Kong,45
Singapore,40
Israel,22
Switzerland,22
Ireland,20
India,18
Bangladesh,16
Norway,16
United States,16
Russia,15
Canada,15
Portugal,15
Finland,15
Sweden,13
Germany,11
Belgium,11
Australia,11
Pakistan,10
France,10
Netherlands,10
United Kingdom,10
Denmark,9
Ukraine,9
Vietnam,8
Côte d’Ivoire,
Spain,8
Austria,7
Chile,7
Iran,7
Poland,6
Egypt,6
Thailand,6
Colombia,6
Malaysia,5
Brazil,5
Italy,4
Turkey,4
Argentina,4
Mexico,3
Peru,3
Indonesia,3
North Korea,
Vanuatu,
Burundi,
Madagascar,
Mongolia,
Maldives,
Laos,
Macao,
Armenia,
Cameroon,
Luxembourg,
Nepal,
Senegal,
Iceland,
Ethiopia,
Palestine,
Belarus,
Cyprus,
Syria,
Zambia,
Sri Lanka,
Estonia,
Mozambique,
Montenegro,
Tunisia,
Malta,
Kosovo,
Greece,
Slovenia,
Mauritius,
New Zealand,
Nigeria,
Uzbekistan,
Kenya,
Uruguay,
Ghana,
Latvia,
Trinidad & Tobago,
Croatia,
Uganda,
Jamaica,
Lithuania,
Myanmar (Burma),
Serbia,
South Africa,
Qatar,
Nicaragua,
Bosnia & Herzegovina,
Albania,
Yemen,
Kyrgyzstan,
Morocco,
North Macedonia,
Czechia,
Cambodia,
Philippines,
Hungary,
Jordan,
United Arab Emirates,
Sudan,
Tanzania,
Oman,
Bulgaria,
Romania,
Algeria,
Moldova,
Saudi Arabia,
Paraguay,
Georgia,
Lebanon,
Guatemala,
Kazakhstan,
Slovakia,
Ecuador,
Azerbaijan,
Bolivia,
Iraq,
Venezuela,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bahamas,
St. Barthélemy,
Belize,
Bermuda,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Dominican Republic,
Eritrea,
Western Sahara,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Jersey,
Kiribati,
St. Kitts & Nevis,
Kuwait,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Lesotho,
St. Martin,
Monaco,
Marshall Islands,
Mali,
Northern Mariana Islands,
Mauritania,
Montserrat,
Martinique,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Niue,
Nauru,
Panama,
Pitcairn Islands,
Palau,
Papua New Guinea,
Puerto Rico,
French Polynesia,
Réunion,
Rwanda,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Eswatini,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Wallis & Futuna,
Samoa,
Zimbabwe,
