Category: All categories

Month,tensorflow: (Worldwide)
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,<1
2015-11,19
2015-12,7
2016-01,8
2016-02,9
2016-03,11
2016-04,14
2016-05,19
2016-06,21
2016-07,22
2016-08,20
2016-09,25
2016-10,30
2016-11,35
2016-12,38
2017-01,43
2017-02,59
2017-03,68
2017-04,71
2017-05,71
2017-06,75
2017-07,72
2017-08,71
2017-09,75
2017-10,76
2017-11,94
2017-12,84
2018-01,84
2018-02,83
2018-03,92
2018-04,96
2018-05,100
2018-06,91
2018-07,87
2018-08,91
2018-09,82
2018-10,89
2018-11,90
2018-12,79
2019-01,77
2019-02,80
2019-03,86
2019-04,86
2019-05,81
2019-06,81
2019-07,85
2019-08,76
2019-09,76
2019-10,78
2019-11,79
2019-12,67
2020-01,72
2020-02,74
2020-03,71
2020-04,72
2020-05,72
2020-06,75
2020-07,74
2020-08,67
2020-09,65
2020-10,51
