year,num_total,num_M,num_F,cat_go3,cat_grad,cat_ged,num_test,score_avg,score_avg_M,score_avg_F,score_avg_go3,score_avg_grad,score_t50_avg,score_t50_avg_M,score_t50_avg_F,score_t50_avg_go3,score_t50_avg_grad
1994,742668,437465,305203,521806,213459,7403,716326,49.2,49.7,48.5,49,49.6,61.7,62.6,60.2,,
1994,750181,444612,305569,496617,243826,9738,726634,44.5,44.6,44.3,45.2,43.2,54.8,55.7,53.5,,
1995,781749,452360,329389,477960,261492,42297,757488,49.7,49.7,49.8,51.2,47.8,63.2,63.3,60.7,,
1996,840661,478707,361954,526833,300482,13346,809867,46.1,46,46.1,47,44.4,57.7,58.6,56.6,,
1997,824374,472527,351847,545023,268044,11307,795338,42.7,42.4,43.1,43.6,40.8,54.1,55.1,52.9,,
1998,885321,495179,390142,613376,261424,10521,854272,53.1,52.9,53.5,53.8,51.5,67.7,69,66.3,,
1999,868643,475625,393018,623130,233893,11620,839837,60.1,59.7,60.5,59.9,60.7,75.1,76.2,73.9,,
2000,896122,483602,412520,631745,250064,14313,868366,62.4,61.7,63.2,61.8,64.6,77.5,78.6,76.3,77.2,78.1
2001,872297,465546,406751,603238,254538,14521,850305,69.3,68.5,70.2,68.1,72.6,84.2,85.1,83.3,83.8,84.9
2002,739129,390473,348656,541662,185946,11521,718441,,,,,,,,,,
2003,675922,356418,319504,482089,179880,13953,655384,,,,,,,,,,
2004,674154,357421,316733,476129,184317,13708,642583,,,,,,,,,,
2005,610257,324700,285557,435538,161524,13195,574218,,,,,,,,,,
2006,593806,314323,279483,422310,159190,12306,554345,,,,,,,,,,
2007,588899,313715,275184,425396,151697,11806,551884,,,,,,,,,,
2008,584934,312064,272870,446597,126729,11608,550588,,,,,,,,,,
2009,588839,313002,275837,448472,127586,12781,559475,,,,,,,,,,
2010,677834,358142,319692,532436,130658,14740,638216,,,,,,,,,,
2011,712227,379385,332842,541880,154661,15686,668991,,,,,,,,,,
2012,693631,371771,321860,526418,151887,15326,648946,,,,,,,,,,
2013,668522,356924,311598,510972,142561,14989,621336,,,,,,,,,,
2014,650747,342776,307971,509081,127634,14032,606813,,,,,,,,,,
2015,640621,333204,307417,495027,131539,14055,594835,,,,,,,,,,
2016,631187,323783,307404,482054,136090,13043,585332,,,,,,,,,,
2017,605987,310451,295536,459342,135120,11525,552297,,,,,,,,,,
2018,593527,303620,289907,444873,137533,11121,531327,,,,,,,,,,
2019,594924,306141,288783,448111,135482,11331,530220,,,,,,,,,,
2020,548734,282036,266698,394024,142271,12439,484737,,,,,,,,,,
2021,493433,254027,239406,346673,133069,13691,426344,,,,,,,,,,
