year,male,female,enroll,grad,ged,apply,exam,apply_rate
1994,437465,305203,521806,213459,7403,742668,716326,96.5
1994,444612,305569,496617,243826,9738,750181,726634,96.9
1995,452360,329389,477960,261492,42297,781749,757488,96.9
1996,478707,361954,526833,300482,13346,840661,809867,96.3
1997,472527,351847,545023,268044,11307,824374,795338,96.5
1998,495179,390142,613376,261424,10521,885321,854272,96.5
1999,475625,393018,623130,233893,11620,868643,839837,96.7
2000,483602,412520,631745,250064,14313,896122,868366,96.9
2001,465546,406751,603238,254538,14521,872297,850305,97.5
2002,390473,348656,541662,185946,11521,739129,718441,97.2
2003,356418,319504,482089,179880,13953,675922,655384,97.0
2004,357421,316733,476129,184317,13708,674154,642583,95.3
2005,324700,285557,435538,161524,13195,610257,574218,94.1
2006,314323,279483,422310,159190,12306,593806,554345,93.4
2007,313715,275184,425396,151697,11806,588899,551884,93.7
2008,312064,272870,446597,126729,11608,584934,550588,94.1
2009,313002,275837,448472,127586,12781,588839,559475,95.0
2010,358142,319692,532436,130658,14740,677834,638216,94.2
2011,379385,332842,541880,154661,15686,712227,668991,93.9
2012,371771,321860,526418,151887,15326,693631,648946,93.6
2013,356924,311598,510972,142561,14989,668522,621336,92.9
2014,342776,307971,509081,127634,14032,650747,606813,93.2
2015,333204,307417,495027,131539,14055,640621,594835,92.9
2016,323783,307404,482054,136090,13043,631187,585332,92.7
2017,310451,295536,459342,135120,11525,605987,552297,91.1
2018,303620,289907,444873,137533,11121,593527,531327,89.5
2019,306141,288783,448111,135482,11331,594924,530220,89.1
2020,282036,266698,394024,142271,12439,548734,484737,88.3
2021,254027,239406,346673,133069,13691,493433,426344,86.4
