A,B,C,D,E,target
A0,0.0,0.0,D0,1.0,-2.96379473500002
A0,0.0,0.0,D0,2.0,0.431221074999996
A0,0.0,0.0,D0,3.0,0.368904984999972
A0,0.0,0.0,D0,4.0,0.534808365000004
A0,0.0,0.0,D1,1.0,1.77930658499997
A0,0.0,0.0,D1,2.0,1.61121787499997
A0,0.0,0.0,D1,3.0,1.817574675
A0,0.0,0.0,D1,4.0,1.52727067500001
A0,0.0,1.0,D0,1.0,-1.61058148500001
A0,0.0,1.0,D0,2.0,0.292204645000027
A0,0.0,1.0,D0,3.0,0.222122714999955
A0,0.0,1.0,D0,4.0,0.490456185000028
A0,0.0,1.0,D1,1.0,-0.043928185000027
A0,0.0,1.0,D1,2.0,1.418517705
A0,0.0,1.0,D1,3.0,1.95511125500002
A0,0.0,1.0,D1,4.0,1.43211243499997
A0,0.0,2.0,D0,1.0,-0.852238124999985
A0,0.0,2.0,D0,2.0,-0.781189265000023
A0,0.0,2.0,D0,3.0,0.126583245000006
A0,0.0,2.0,D0,4.0,0.332925304999947
A0,0.0,2.0,D1,1.0,-0.103485884999998
A0,0.0,2.0,D1,2.0,-0.180913145000034
A0,0.0,2.0,D1,3.0,1.362656055
A0,0.0,2.0,D1,4.0,1.68326261499999
A0,0.0,3.0,D0,1.0,-1.12417413499998
A0,0.0,3.0,D0,2.0,-0.781637785000044
A0,0.0,3.0,D0,3.0,-0.476072124999973
A0,0.0,3.0,D0,4.0,0.193542564999973
A0,0.0,3.0,D1,1.0,-0.214734785000019
A0,0.0,3.0,D1,2.0,-0.224832824999964
A0,0.0,3.0,D1,3.0,-0.21181520500005
A0,0.0,3.0,D1,4.0,1.25474797499999
A0,0.0,4.0,D0,1.0,-1.066029265
A0,0.0,4.0,D0,2.0,-0.809374975000026
A0,0.0,4.0,D0,3.0,-0.602607315
A0,0.0,4.0,D0,4.0,-0.617593875000011
A0,0.0,4.0,D1,1.0,-0.284674675000019
A0,0.0,4.0,D1,2.0,-0.332779904999995
A0,0.0,4.0,D1,3.0,-0.314954175000025
A0,0.0,4.0,D1,4.0,-0.238472034999972
A0,1.0,0.0,D0,1.0,-1.00806328499999
A0,1.0,0.0,D0,2.0,0.402983855000002
A0,1.0,0.0,D0,3.0,0.301492884999959
A0,1.0,0.0,D0,4.0,0.315233154999987
A0,1.0,0.0,D1,1.0,-0.150585364999984
A0,1.0,0.0,D1,2.0,1.04157997499999
A0,1.0,0.0,D1,3.0,1.16736688499998
A0,1.0,0.0,D1,4.0,1.199499215
A0,1.0,1.0,D0,1.0,-0.0931745849999857
A0,1.0,1.0,D0,2.0,0.300089925000009
A0,1.0,1.0,D0,3.0,0.397126284999956
A0,1.0,1.0,D0,4.0,0.272653724999998
A0,1.0,1.0,D1,1.0,-0.379064234999987
A0,1.0,1.0,D1,2.0,1.27164948500001
A0,1.0,1.0,D1,3.0,0.86703298499998
A0,1.0,1.0,D1,4.0,2.28264102499998
A0,1.0,2.0,D0,1.0,-0.189293135000014
A0,1.0,2.0,D0,2.0,-0.709623975
A0,1.0,2.0,D0,3.0,0.202024844999983
A0,1.0,2.0,D0,4.0,0.233478685000023
A0,1.0,2.0,D1,1.0,-0.203948244999992
A0,1.0,2.0,D1,2.0,-0.480211554999983
A0,1.0,2.0,D1,3.0,-0.0319612250000318
A0,1.0,2.0,D1,4.0,1.062841015
A0,1.0,3.0,D0,1.0,-0.697676894999972
A0,1.0,3.0,D0,2.0,-0.738594845000023
A0,1.0,3.0,D0,3.0,-0.472456365000028
A0,1.0,3.0,D0,4.0,-0.0078794149999907
A0,1.0,3.0,D1,1.0,-0.204025204999994
A0,1.0,3.0,D1,2.0,-0.53628681500004
A0,1.0,3.0,D1,3.0,-0.0434626549999848
A0,1.0,3.0,D1,4.0,1.45398826499996
A0,1.0,4.0,D0,1.0,-0.643213704999994
A0,1.0,4.0,D0,2.0,-0.60057245500002
A0,1.0,4.0,D0,3.0,-0.74774342500001
A0,1.0,4.0,D0,4.0,-0.547197854999979
A0,1.0,4.0,D1,1.0,-0.138518515000044
A0,1.0,4.0,D1,2.0,-0.556310314999962
A0,1.0,4.0,D1,3.0,-0.091766395000036
A0,1.0,4.0,D1,4.0,-0.164929065000024
A0,2.0,0.0,D0,1.0,-1.02975137500005
A0,2.0,0.0,D0,2.0,-0.0782058949999964
A0,2.0,0.0,D0,3.0,0.794796754999993
A0,2.0,0.0,D0,4.0,-0.0089242550000108
A0,2.0,0.0,D1,1.0,-0.291013955000039
A0,2.0,0.0,D1,2.0,0.042091135000021
A0,2.0,0.0,D1,3.0,1.05142628499999
A0,2.0,0.0,D1,4.0,0.992397434999987
A0,2.0,1.0,D0,1.0,0.22894215499997
A0,2.0,1.0,D0,2.0,0.0079051449999951
A0,2.0,1.0,D0,3.0,0.319067244999985
A0,2.0,1.0,D0,4.0,0.420352905000016
A0,2.0,1.0,D1,1.0,-0.409384875000001
A0,2.0,1.0,D1,2.0,-0.349145965000048
A0,2.0,1.0,D1,3.0,1.13658978500001
A0,2.0,1.0,D1,4.0,1.03394801499996
A0,2.0,2.0,D0,1.0,0.0724346349999792
A0,2.0,2.0,D0,2.0,-0.0563435649999633
A0,2.0,2.0,D0,3.0,0.187365634999992
A0,2.0,2.0,D0,4.0,0.484426914999972
A0,2.0,2.0,D1,1.0,-0.467489134999994
A0,2.0,2.0,D1,2.0,-0.259661535000021
A0,2.0,2.0,D1,3.0,0.936949654999978
A0,2.0,2.0,D1,4.0,1.016943975
A0,2.0,3.0,D0,1.0,-0.683186414999966
A0,2.0,3.0,D0,2.0,-0.144358355000009
A0,2.0,3.0,D0,3.0,-0.299470155000051
A0,2.0,3.0,D0,4.0,0.100063835000014
A0,2.0,3.0,D1,1.0,-0.507623155000033
A0,2.0,3.0,D1,2.0,-0.237402615000008
A0,2.0,3.0,D1,3.0,-0.281676114999982
A0,2.0,3.0,D1,4.0,0.899525165
A0,2.0,4.0,D0,1.0,-0.0693958150000071
A0,2.0,4.0,D0,2.0,0.229407664999997
A0,2.0,4.0,D0,3.0,-0.873932754999998
A0,2.0,4.0,D0,4.0,-0.682442185000014
A0,2.0,4.0,D1,1.0,-0.35546010500002
A0,2.0,4.0,D1,2.0,-0.384803895000005
A0,2.0,4.0,D1,3.0,-0.207731094999986
A0,2.0,4.0,D1,4.0,-0.338184264999995
A0,3.0,0.0,D0,1.0,0.589719964999972
A0,3.0,0.0,D0,2.0,0.0537662849999947
A0,3.0,0.0,D0,3.0,0.118312764999985
A0,3.0,0.0,D0,4.0,0.630694394999978
A0,3.0,0.0,D1,1.0,-0.597506044999989
A0,3.0,0.0,D1,2.0,0.174045994999972
A0,3.0,0.0,D1,3.0,-0.180346564999979
A0,3.0,0.0,D1,4.0,0.994943134999971
A0,3.0,1.0,D0,1.0,0.771141354999998
A0,3.0,1.0,D0,2.0,-0.151688035000007
A0,3.0,1.0,D0,3.0,0.0431417849999889
A0,3.0,1.0,D0,4.0,0.369745505000026
A0,3.0,1.0,D1,1.0,9.21249999805696e-05
A0,3.0,1.0,D1,2.0,-0.101892045
A0,3.0,1.0,D1,3.0,0.158784335000007
A0,3.0,1.0,D1,4.0,0.954269225000019
A0,3.0,2.0,D0,1.0,-0.411775574999979
A0,3.0,2.0,D0,2.0,-0.127150355000026
A0,3.0,2.0,D0,3.0,-0.0660013550000258
A0,3.0,2.0,D0,4.0,0.715782375000003
A0,3.0,2.0,D1,1.0,-0.182300134999991
A0,3.0,2.0,D1,2.0,-0.065145135000023
A0,3.0,2.0,D1,3.0,0.432259015
A0,3.0,2.0,D1,4.0,0.909278985000015
A0,3.0,3.0,D0,1.0,-0.458012665000013
A0,3.0,3.0,D0,2.0,-0.0219540150000057
A0,3.0,3.0,D0,3.0,-0.0100002050000398
A0,3.0,3.0,D0,4.0,0.180216655000038
A0,3.0,3.0,D1,1.0,-0.558008595000047
A0,3.0,3.0,D1,2.0,-0.227932774999999
A0,3.0,3.0,D1,3.0,1.08670210500003
A0,3.0,3.0,D1,4.0,0.901139644999944
A0,3.0,4.0,D0,1.0,0.404062234999969
A0,3.0,4.0,D0,2.0,-0.231000834999975
A0,3.0,4.0,D0,3.0,0.0409140249999496
A0,3.0,4.0,D0,4.0,-0.621429644999978
A0,3.0,4.0,D1,1.0,-0.241679265000016
A0,3.0,4.0,D1,2.0,-0.244190114999981
A0,3.0,4.0,D1,3.0,0.526219474999948
A0,3.0,4.0,D1,4.0,-0.245209354999986
A0,4.0,0.0,D0,1.0,-3.12042379499997
A0,4.0,0.0,D0,2.0,0.0342569649999973
A0,4.0,0.0,D0,3.0,0.124880164999979
A0,4.0,0.0,D0,4.0,0.499733694999975
A0,4.0,0.0,D1,1.0,-0.730967265000004
A0,4.0,0.0,D1,2.0,0.238328394999996
A0,4.0,0.0,D1,3.0,-0.184866835000037
A0,4.0,0.0,D1,4.0,-0.181965414999979
A0,4.0,1.0,D0,1.0,-0.340995045
A0,4.0,1.0,D0,2.0,0.346552625000015
A0,4.0,1.0,D0,3.0,0.238433494999981
A0,4.0,1.0,D0,4.0,-0.107739594999998
A0,4.0,1.0,D1,1.0,0.562015505000034
A0,4.0,1.0,D1,2.0,0.044668804999958
A0,4.0,1.0,D1,3.0,-0.118848904999993
A0,4.0,1.0,D1,4.0,0.114246554999966
A0,4.0,2.0,D0,1.0,0.785261424999987
A0,4.0,2.0,D0,2.0,0.0401281449999829
A0,4.0,2.0,D0,3.0,0.121887474999994
A0,4.0,2.0,D0,4.0,-0.0407318949999649
A0,4.0,2.0,D1,1.0,-0.403049605000035
A0,4.0,2.0,D1,2.0,0.51978819499999
A0,4.0,2.0,D1,3.0,0.0686524850000296
A0,4.0,2.0,D1,4.0,0.20907770499997
A0,4.0,3.0,D0,1.0,-1.35569517499999
A0,4.0,3.0,D0,2.0,0.205802515000016
A0,4.0,3.0,D0,3.0,0.212829865000003
A0,4.0,3.0,D0,4.0,-0.32044322500002
A0,4.0,3.0,D1,1.0,-0.935011925000026
A0,4.0,3.0,D1,2.0,0.380588354999986
A0,4.0,3.0,D1,3.0,0.546804774999998
A0,4.0,3.0,D1,4.0,0.181184545000008
A0,4.0,4.0,D0,1.0,-0.950454795000042
A0,4.0,4.0,D0,2.0,0.368288194999991
A0,4.0,4.0,D0,3.0,0.777851465000026
A0,4.0,4.0,D0,4.0,-0.125766215000056
A0,4.0,4.0,D1,1.0,-1.07877181500004
A0,4.0,4.0,D1,2.0,1.08226632500003
A0,4.0,4.0,D1,3.0,-0.762442435000025
A0,4.0,4.0,D1,4.0,0.651110314999983
A1,0.0,0.0,D0,1.0,-4.14535990500002
A1,0.0,0.0,D0,2.0,0.277624844999991
A1,0.0,0.0,D0,3.0,0.0995516849999945
A1,0.0,0.0,D0,4.0,0.489753805000021
A1,0.0,0.0,D1,1.0,1.71696733499999
A1,0.0,0.0,D1,2.0,1.72436499500003
A1,0.0,0.0,D1,3.0,1.60827964499998
A1,0.0,0.0,D1,4.0,1.431640915
A1,0.0,1.0,D0,1.0,-1.48852807499998
A1,0.0,1.0,D0,2.0,0.0622022849999553
A1,0.0,1.0,D0,3.0,0.0525781750000078
A1,0.0,1.0,D0,4.0,0.367521085000021
A1,0.0,1.0,D1,1.0,-0.102348135
A1,0.0,1.0,D1,2.0,1.25272090499999
A1,0.0,1.0,D1,3.0,1.75834226499995
A1,0.0,1.0,D1,4.0,1.59957851500002
A1,0.0,2.0,D0,1.0,-0.633298354999965
A1,0.0,2.0,D0,2.0,-0.499068695000005
A1,0.0,2.0,D0,3.0,-0.0466073950000236
A1,0.0,2.0,D0,4.0,0.286035874999982
A1,0.0,2.0,D1,1.0,-0.159904354999981
A1,0.0,2.0,D1,2.0,-0.241348334999998
A1,0.0,2.0,D1,3.0,1.27942819499998
A1,0.0,2.0,D1,4.0,1.32322399499998
A1,0.0,3.0,D0,1.0,-1.394774525
A1,0.0,3.0,D0,2.0,-0.492485945000055
A1,0.0,3.0,D0,3.0,-0.206317764999994
A1,0.0,3.0,D0,4.0,0.025704195000003
A1,0.0,3.0,D1,1.0,-0.260347894999995
A1,0.0,3.0,D1,2.0,-0.276059045000011
A1,0.0,3.0,D1,3.0,-0.265305775000002
A1,0.0,3.0,D1,4.0,1.10770554499999
A1,0.0,4.0,D0,1.0,-1.08097638500004
A1,0.0,4.0,D0,2.0,-0.73653462499999
A1,0.0,4.0,D0,3.0,-0.323034435000011
A1,0.0,4.0,D0,4.0,-0.303302864999978
A1,0.0,4.0,D1,1.0,-0.308345765000013
A1,0.0,4.0,D1,2.0,-0.362810445000036
A1,0.0,4.0,D1,3.0,-0.352460855000004
A1,0.0,4.0,D1,4.0,-0.239089214999979
A1,1.0,0.0,D0,1.0,-0.849222144999999
A1,1.0,0.0,D0,2.0,0.170755885000006
A1,1.0,0.0,D0,3.0,0.0512607249999633
A1,1.0,0.0,D0,4.0,0.0851933650000092
A1,1.0,0.0,D1,1.0,-0.238202505000004
A1,1.0,0.0,D1,2.0,0.880681195000022
A1,1.0,0.0,D1,3.0,1.06051896499997
A1,1.0,0.0,D1,4.0,1.09886011499998
A1,1.0,1.0,D0,1.0,0.204706864999991
A1,1.0,1.0,D0,2.0,0.126109885000005
A1,1.0,1.0,D0,3.0,0.08915286499996
A1,1.0,1.0,D0,4.0,0.0443174950000298
A1,1.0,1.0,D1,1.0,-0.300758265000013
