"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상","2021년08월_남_총인구수","2021년08월_남_연령구간인구수","2021년08월_남_0~9세","2021년08월_남_10~19세","2021년08월_남_20~29세","2021년08월_남_30~39세","2021년08월_남_40~49세","2021년08월_남_50~59세","2021년08월_남_60~69세","2021년08월_남_70~79세","2021년08월_남_80~89세","2021년08월_남_90~99세","2021년08월_남_100세 이상","2021년08월_여_총인구수","2021년08월_여_연령구간인구수","2021년08월_여_0~9세","2021년08월_여_10~19세","2021년08월_여_20~29세","2021년08월_여_30~39세","2021년08월_여_40~49세","2021년08월_여_50~59세","2021년08월_여_60~69세","2021년08월_여_70~79세","2021년08월_여_80~89세","2021년08월_여_90~99세","2021년08월_여_100세 이상"
"전국  (0000000000)","51,669,716","51,669,716","3,827,185","4,733,729","6,721,376","6,753,189","8,192,793","8,598,568","7,072,000","3,703,046","1,799,074","257,821","10,935","25,766,031","25,766,031","1,961,956","2,445,331","3,527,385","3,484,528","4,164,458","4,347,302","3,463,205","1,674,431","638,176","57,029","2,230","25,903,685","25,903,685","1,865,229","2,288,398","3,193,991","3,268,661","4,028,335","4,251,266","3,608,795","2,028,615","1,160,898","200,792","8,705"
"서울특별시  (1100000000)","9,550,227","9,550,227","596,448","763,356","1,439,293","1,446,242","1,493,290","1,505,336","1,277,991","696,313","288,376","41,066","2,516","4,640,740","4,640,740","306,199","391,081","694,343","722,592","739,942","741,473","603,802","316,988","113,314","10,383","623","4,909,487","4,909,487","290,249","372,275","744,950","723,650","753,348","763,863","674,189","379,325","175,062","30,683","1,893"
"부산광역시  (2600000000)","3,359,527","3,359,527","223,790","267,212","421,122","408,986","504,235","556,023","546,088","295,340","120,959","15,020","752","1,644,378","1,644,378","114,820","137,684","218,711","209,593","254,352","270,752","257,879","133,407","43,847","3,186","147","1,715,149","1,715,149","108,970","129,528","202,411","199,393","249,883","285,271","288,209","161,933","77,112","11,834","605"
"대구광역시  (2700000000)","2,393,626","2,393,626","171,117","220,036","314,020","286,886","375,350","419,481","339,189","176,352","81,008","9,813","374","1,180,223","1,180,223","87,671","114,801","167,340","150,023","185,324","205,571","161,387","77,302","28,631","2,103","70","1,213,403","1,213,403","83,446","105,235","146,680","136,863","190,026","213,910","177,802","99,050","52,377","7,710","304"
"인천광역시  (2800000000)","2,938,429","2,938,429","220,236","271,571","393,256","400,549","480,219","508,757","391,192","178,487","80,986","12,627","549","1,471,347","1,471,347","112,982","139,625","204,944","207,373","245,805","254,234","193,757","81,710","28,133","2,657","127","1,467,082","1,467,082","107,254","131,946","188,312","193,176","234,414","254,523","197,435","96,777","52,853","9,970","422"
"광주광역시  (2900000000)","1,441,970","1,441,970","115,509","153,624","207,467","182,218","236,974","234,286","169,907","94,129","41,623","5,995","238","713,286","713,286","59,220","79,544","108,281","93,241","117,683","116,312","81,019","41,790","14,874","1,294","28","728,684","728,684","56,289","74,080","99,186","88,977","119,291","117,974","88,888","52,339","26,749","4,701","210"
"대전광역시  (3000000000)","1,454,679","1,454,679","109,542","143,384","210,407","190,417","232,653","239,536","188,339","91,868","42,321","6,000","212","725,956","725,956","56,336","74,118","110,408","99,627","115,946","119,607","91,358","41,831","15,309","1,378","38","728,723","728,723","53,206","69,266","99,999","90,790","116,707","119,929","96,981","50,037","27,012","4,622","174"
"울산광역시  (3100000000)","1,124,459","1,124,459","93,908","110,407","139,883","146,836","184,554","206,621","153,461","61,923","23,627","3,154","85","577,806","577,806","48,255","57,997","78,952","78,101","94,288","104,905","77,277","29,516","7,979","525","11","546,653","546,653","45,653","52,410","60,931","68,735","90,266","101,716","76,184","32,407","15,648","2,629","74"
"세종특별자치시  (3600000000)","365,309","365,309","46,951","44,563","38,185","61,164","71,243","47,168","32,723","14,593","7,423","1,259","37","182,430","182,430","23,976","22,424","19,546","29,844","36,179","24,647","16,242","6,769","2,538","257","8","182,879","182,879","22,975","22,139","18,639","31,320","35,064","22,521","16,481","7,824","4,885","1,002","29"
"경기도  (4100000000)","13,530,519","13,530,519","1,115,729","1,327,046","1,809,234","1,898,766","2,295,088","2,254,613","1,637,036","771,128","365,787","53,757","2,335","6,810,105","6,810,105","571,021","682,200","953,039","981,132","1,167,569","1,142,604","814,254","351,154","133,907","12,672","553","6,720,414","6,720,414","544,708","644,846","856,195","917,634","1,127,519","1,112,009","822,782","419,974","231,880","41,085","1,782"
"강원도  (4200000000)","1,536,270","1,536,270","102,340","134,698","176,503","162,968","220,045","263,947","255,310","133,479","75,073","11,437","470","773,260","773,260","52,429","69,916","99,324","85,763","112,857","136,190","127,357","60,053","26,741","2,517","113","763,010","763,010","49,911","64,782","77,179","77,205","107,188","127,757","127,953","73,426","48,332","8,920","357"
"충청북도  (4300000000)","1,597,179","1,597,179","119,045","147,072","196,158","191,827","237,631","269,862","237,954","119,892","68,024","9,396","318","810,095","810,095","60,798","76,412","109,105","102,194","123,131","138,955","119,511","54,363","23,509","2,050","67","787,084","787,084","58,247","70,660","87,053","89,633","114,500","130,907","118,443","65,529","44,515","7,346","251"
"충청남도  (4400000000)","2,118,183","2,118,183","166,048","201,255","239,796","261,608","325,856","338,059","295,834","171,587","102,674","14,953","513","1,082,664","1,082,664","85,011","104,425","132,716","140,950","173,764","179,216","148,518","78,436","36,052","3,488","88","1,035,519","1,035,519","81,037","96,830","107,080","120,658","152,092","158,843","147,316","93,151","66,622","11,465","425"
"전라북도  (4500000000)","1,792,476","1,792,476","122,405","171,386","209,061","184,140","261,996","298,043","265,736","170,813","93,996","14,369","531","891,776","891,776","62,816","88,743","113,075","95,077","134,785","154,876","131,399","75,991","31,778","3,150","86","900,700","900,700","59,589","82,643","95,986","89,063","127,211","143,167","134,337","94,822","62,218","11,219","445"
"전라남도  (4600000000)","1,838,353","1,838,353","126,566","164,135","196,634","180,509","254,139","311,930","281,851","191,117","113,947","16,911","614","924,912","924,912","64,481","85,027","110,045","94,956","135,745","167,965","142,359","84,719","36,205","3,341","69","913,441","913,441","62,085","79,108","86,589","85,553","118,394","143,965","139,492","106,398","77,742","13,570","545"
"경상북도  (4700000000)","2,630,254","2,630,254","182,105","223,048","279,578","282,760","378,164","453,874","428,519","242,423","139,389","19,735","659","1,325,354","1,325,354","93,745","117,142","158,381","151,084","197,136","235,361","213,440","108,946","46,041","3,983","95","1,304,900","1,304,900","88,360","105,906","121,197","131,676","181,028","218,513","215,079","133,477","93,348","15,752","564"
"경상남도  (4800000000)","3,322,373","3,322,373","256,482","320,646","369,145","386,080","529,780","576,850","487,653","247,965","129,064","18,187","521","1,672,737","1,672,737","131,873","167,425","205,957","202,080","272,714","295,258","242,352","110,654","40,921","3,409","94","1,649,636","1,649,636","124,609","153,221","163,188","184,000","257,066","281,592","245,301","137,311","88,143","14,778","427"
"제주특별자치도  (5000000000)","675,883","675,883","58,964","70,290","81,634","81,233","111,576","114,182","83,217","45,637","24,797","4,142","211","338,962","338,962","30,323","36,767","43,218","40,898","57,238","59,376","41,294","20,802","8,397","636","13","336,921","336,921","28,641","33,523","38,416","40,335","54,338","54,806","41,923","24,835","16,400","3,506","198"
