country,Life Expectancy (2022),Population (2022),GDP per Capita (2022),Continent
Afghanistan,62.6,40600000,1430.0,Asia
Angola,64.5,35600000,5910.0,Africa
Albania,76.1,2830000,15500.0,Europe
Andorra,82.7,79700,56000.0,Europe
UAE,73.4,10200000,74300.0,Asia
Argentina,75.4,45400000,22400.0,America
Armenia,73.7,2880000,16000.0,Europe
Antigua and Barbuda,76.8,92800,21500.0,America
Australia,83.4,26200000,51000.0,Oceania
Austria,82.7,9060000,56300.0,Europe
Azerbaijan,71.4,10300000,15000.0,Asia
Burundi,63.5,13300000,708.0,Africa
Belgium,81.9,11600000,53200.0,Europe
Benin,64.0,13800000,3440.0,Africa
Burkina Faso,61.4,22500000,2160.0,Africa
Bangladesh,75.5,169000000,6260.0,Asia
Bulgaria,69.9,6830000,26800.0,Europe
Bahrain,76.3,1530000,51900.0,Asia
Bahamas,76.6,398000,34200.0,America
Bosnia and Herzegovina,75.0,3200000,16700.0,Europe
Belarus,73.0,9170000,19100.0,Europe
Belize,71.5,403000,9700.0,America
Bolivia,68.9,12100000,8200.0,America
Brazil,73.9,210000000,15100.0,America
Barbados,76.6,282000,15100.0,America
Brunei,74.2,455000,58700.0,Asia
Bhutan,74.0,781000,11300.0,Asia
Botswana,62.7,2440000,15500.0,Africa
Central African Republic,51.8,5100000,819.0,Africa
Canada,82.7,38800000,49000.0,America
Switzerland,84.5,8790000,71000.0,Europe
Chile,79.3,19600000,25900.0,America
China,78.2,1430000000,18200.0,Asia
Cote d'Ivoire,63.8,30400000,5540.0,Africa
Cameroon,62.7,27600000,3730.0,Africa
"Congo, Dem. Rep.",64.5,102000000,1130.0,Africa
"Congo, Rep.",65.8,6040000,3210.0,Africa
Colombia,77.0,51700000,15700.0,America
Comoros,68.3,834000,3250.0,Africa
Cape Verde,72.5,520000,7690.0,Africa
Costa Rica,78.0,5080000,22000.0,America
Cuba,79.2,11100000,10600.0,America
Cyprus,81.3,1330000,43600.0,Europe
Czech Republic,78.3,10700000,41700.0,Europe
Germany,80.6,84100000,53600.0,Europe
Djibouti,66.6,1140000,4990.0,Africa
Dominica,71.8,66800,11500.0,America
Denmark,81.6,5900000,59700.0,Europe
Dominican Republic,73.8,11200000,19300.0,America
Algeria,76.8,45500000,11200.0,Africa
Ecuador,77.0,17800000,10900.0,America
Egypt,69.8,113000000,12800.0,Africa
Eritrea,63.1,3410000,1950.0,Africa
Spain,83.5,47800000,39800.0,Europe
Estonia,78.5,1350000,37800.0,Europe
Ethiopia,68.6,125000000,2380.0,Africa
Finland,82.3,5570000,49600.0,Europe
Fiji,68.8,919000,12000.0,Oceania
France,83.4,66300000,46000.0,Europe
"Micronesia, Fed. Sts.",64.0,112000,3260.0,Oceania
Gabon,66.9,2430000,13900.0,Africa
UK,81.5,68200000,46800.0,Europe
Georgia,71.5,3790000,17000.0,Europe
Ghana,65.5,33100000,5500.0,Africa
Guinea,60.5,14100000,2700.0,Africa
Gambia,65.8,2640000,2130.0,Africa
Guinea-Bissau,59.9,2110000,1860.0,Africa
Equatorial Guinea,65.5,1800000,14700.0,Africa
Greece,80.3,10400000,31500.0,Europe
Grenada,73.8,117000,14400.0,America
