name,parameter size (B),date,link,owner
BERT,0.34,2018-10-01,https://en.wikipedia.org/wiki/BERT_(language_model),Google
GPT-2,1.5,2019-02-01,https://en.wikipedia.org/wiki/GPT-2,OpenAI
T5,11,2019-10-01,https://arxiv.org/abs/1910.10683,Google
Megatron-11B,11,2020-04-01,https://github.com/pytorch/fairseq/tree/main/examples/megatron_11b,Meta
BlenderBot1,9.4,2020-04-01,https://cobusgreyling.medium.com/meta-ais-blender-bot-3-0-is-an-open-source-chatbot-with-long-term-memory-internet-search-ce024a5fe8aa,Meta
GPT-3,175,2020-05-01,https://en.wikipedia.org/wiki/GPT-3,OpenAI
Wu Dao 2.0,1750,2021-01-01,https://en.wikipedia.org/wiki/Wu_Dao,Beijing Academy of AI
PanGu-Alpha,200,2021-04-01,https://arxiv.org/abs/2104.12369,Huawei
GPT-J,6,2021-06-01,https://huggingface.co/EleutherAI/gpt-j-6b,EleutherAI
LaMDA,137,2021-06-01,https://en.wikipedia.org/wiki/LaMDA,Google
BlenderBot2.0,9.4,2021-07-01,https://cobusgreyling.medium.com/meta-ais-blender-bot-3-0-is-an-open-source-chatbot-with-long-term-memory-internet-search-ce024a5fe8aa,Meta
Codex,12,2021-08-01,https://arxiv.org/abs/2107.03374,OpenAI
Jurassic-1,178,2021-08-01,https://www.ai21.com/blog/announcing-ai21-studio-and-jurassic-1,AI21
xlarge,52.4,2021-09-01,https://arxiv.org/abs/2108.07790,Cohere
FLAN,137,2021-09-01,https://arxiv.org/abs/2109.01652,Google
PLATO-XL,11,2021-09-01,https://arxiv.org/abs/2109.09519,Baidu
Megatron-Turing NLG,530,2021-10-01,https://developer.nvidia.com/megatron-turing-natural-language-generation,Meta
MT-NLG,530,2021-10-01,https://arxiv.org/abs/2201.11990,Microsoft
Luminous,200,2021-11-01,https://www.aleph-alpha.de/pricing,Aleph Alpha
BERT-480,480,2021-11-01,https://cloud.google.com/blog/topics/tpus/google-showcases-cloud-tpu-v4-pods-for-large-model-training,Google
BERT-200,200,2021-11-01,https://cloud.google.com/blog/topics/tpus/google-showcases-cloud-tpu-v4-pods-for-large-model-training (same as above),Google
GLaM,1200,2021-12-01,https://ai.googleblog.com/2021/12/more-efficient-in-context-learning-with.html,Google
Ernie Bot,200,2021-12-01,https://www.prnewswire.com/news-releases/baidu-unveils-ernie-bot-the-latest-generative-ai-mastering-chinese-language-and-multi-modal-generation-301774240.html,Baidu
Gopher,280,2021-12-01,https://www.deepmind.com/blog/language-modelling-at-scale-gopher-ethical-considerations-and-retrieval,Google
Ernie 3.0 Titan,260,2021-12-01,https://www.marktechpost.com/2021/12/29/baidu-and-pcl-team-introduce-ernie-3-0-titan-a-pre-training-language-model-with-260-billion-parameters/,Baidu
GPT-NeoX,20,2022-02-01,https://huggingface.co/docs/transformers/model_doc/gpt_neox,EleutherAI
GPT Neo,2.7,2022-02-01,https://huggingface.co/docs/transformers/model_doc/gpt_neo,EleutherAI
CodeGen,16,2022-03-01,https://arxiv.org/abs/2203.13474,Salesforce
Chinchilla,70,2022-03-01,https://arxiv.org/abs/2203.15556v1,DeepMind
PaLM,540,2022-04-01,https://ai.googleblog.com/2022/04/pathways-language-model-palm-scaling-to.html,Google
mGPT,13,2022-04-01,https://arxiv.org/abs/2204.07580,Sber
InCoder,6.7,2022-04-01,https://arxiv.org/abs/2204.05999,Meta
OPT-IML,175,2022-05-01,https://arxiv.org/abs/2212.12017,Meta
Minerva,540,2022-06-01,https://ai.googleblog.com/2022/06/minerva-solving-quantitative-reasoning.html,Google
YaLM 100B,100,2022-06-01,https://huggingface.co/yandex/yalm-100b,Yandex
FIM 6.9B,6.9,2022-07-01,https://arxiv.org/pdf/2207.14255.pdf,OpenAI
NLLB-200,54.5,2022-07-01,https://ai.facebook.com/blog/nllb-200-high-quality-machine-translation/,Meta
BLOOM,175,2022-07-01,https://huggingface.co/bigscience/bloom,BigScience
BlenderBot3,175,2022-08-01,https://cobusgreyling.medium.com/meta-ais-blender-bot-3-0-is-an-open-source-chatbot-with-long-term-memory-internet-search-ce024a5fe8aa,Meta
GLM-130B,130,2022-08-01,https://huggingface.co/spaces/THUDM/GLM-130B,Tsinghua & Zhipu
AlexaTM,20,2022-08-01,https://www.amazon.science/blog/20b-parameter-alexa-model-sets-new-marks-in-few-shot-learning,Amazon
Atlas,11,2022-08-01,https://arxiv.org/abs/2208.03299,Meta
PaLI,17,2022-09-01,https://arxiv.org/abs/2209.06794,Google
WeLM,10,2022-09-01,https://arxiv.org/abs/2209.10372,WeChat
Sparrow,70,2022-09-01,https://en.wikipedia.org/wiki/Sparrow_(bot),Google
