"시도별",1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020
"시도별",합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
"전국",1.654,4.4,71.9,176.5,63.2,13.5,2.0,0.2,1.656,4.0,65.4,177.5,67.0,14.5,2.2,0.3,1.634,3.7,62.4,175.3,68.6,15.0,2.4,0.2,1.574,3.4,58.5,166.3,70.3,15.4,2.5,0.2,1.537,3.2,54.7,160.5,72.3,15.9,2.5,0.2,1.464,3.0,48.8,152.8,71.9,15.7,2.5,0.2,1.425,2.8,43.8,147.9,73.0,15.7,2.6,0.3,1.480,2.6,39.2,150.3,84.1,17.6,2.7,0.2,1.309,2.4,31.7,129.8,78.1,17.3,2.6,0.2,1.178,2.7,26.8,111.4,75.0,16.9,2.5,0.2,1.191,2.5,23.9,112.2,79.7,17.4,2.6,0.2,1.164,2.4,20.8,105.0,83.7,18.6,2.6,0.2,1.085,2.2,18.0,92.1,82.1,19.0,2.5,0.2,1.132,2.2,17.8,89.9,90.0,21.5,2.7,0.2,1.259,2.3,19.7,95.9,102.0,25.9,3.1,0.2,1.192,1.7,18.2,85.6,101.5,26.5,3.2,0.2,1.149,1.7,16.5,80.4,100.8,27.3,3.4,0.2,1.226,1.8,16.5,79.7,112.4,32.6,4.1,0.2,1.244,1.8,16.4,78.4,114.4,35.4,4.6,0.2,1.297,1.8,16.0,77.4,121.9,39.0,4.9,0.2,1.187,1.7,14.0,65.9,111.4,39.5,4.8,0.1,1.205,1.6,13.1,63.4,113.8,43.2,5.2,0.1,1.239,1.4,12.5,63.1,116.7,48.3,5.6,0.2,1.172,1.3,11.5,56.4,110.1,48.7,5.9,0.2,1.052,1.0,9.6,47.9,97.7,47.2,6.0,0.2,0.977,0.9,8.2,41.0,91.4,46.1,6.4,0.2,0.918,0.8,7.1,35.7,86.2,45.0,7.0,0.2,0.837,0.7,6.2,30.6,78.9,42.3,7.1,0.2
"서울특별시",1.558,2.7,54.2,168.4,70.0,14.0,1.8,0.2,1.565,2.4,48.3,169.0,75.8,15.2,2.0,0.2,1.512,2.1,44.0,161.5,76.6,15.6,2.2,0.2,1.407,1.9,39.2,146.4,77.7,15.6,2.2,0.2,1.338,1.7,34.4,136.7,77.7,16.6,2.3,0.2,1.272,1.5,30.1,129.4,77.3,16.2,2.2,0.2,1.218,1.4,26.3,121.7,77.4,16.2,2.4,0.2,1.275,1.3,23.5,121.4,90.2,18.8,2.6,0.2,1.111,1.3,18.3,101.9,82.4,18.3,2.4,0.2,1.006,2.2,14.9,85.7,79.5,18.4,2.4,0.2,1.014,1.8,14.0,84.0,83.2,19.0,2.6,0.2,1.015,1.7,11.6,79.3,87.9,21.0,2.6,0.2,0.932,1.5,9.8,67.1,83.7,21.5,2.6,0.2,0.980,1.5,9.3,64.8,91.7,25.2,2.8,0.1,1.068,1.4,10.0,67.3,100.8,29.8,3.1,0.2,1.010,1.1,9.1,58.5,99.5,30.2,3.4,0.1,0.962,1.0,8.2,53.9,95.9,31.2,3.6,0.2,1.015,1.1,8.1,52.0,103.3,36.0,4.6,0.2,1.014,1.0,8.3,50.2,102.1,38.5,4.9,0.2,1.059,1.2,7.9,49.2,108.0,42.0,5.4,0.2,0.968,1.2,7.1,41.6,96.9,42.4,5.0,0.1,0.983,1.0,6.7,39.5,98.5,45.8,5.8,0.1,1.001,1.0,6.4,38.1,100.4,49.6,6.0,0.2,0.940,0.9,5.4,33.3,93.3,49.8,6.3,0.2,0.836,0.7,4.5,26.6,81.3,48.3,6.4,0.2,0.761,0.6,3.5,21.5,73.8,45.3,7.1,0.2,0.717,0.5,3.0,17.7,68.2,45.5,7.5,0.2,0.642,0.3,2.5,14.3,60.3,42.4,7.7,0.2
"부산광역시",1.505,2.9,58.6,167.3,58.2,11.9,1.7,0.1,1.468,2.5,52.4,164.1,60.7,11.7,1.7,0.2,1.424,2.1,46.5,159.4,62.0,12.2,1.9,0.1,1.386,2.0,42.6,151.7,64.6,13.5,2.2,0.2,1.303,1.7,37.9,140.8,65.2,13.1,2.1,0.1,1.241,1.7,32.5,133.2,66.8,12.7,1.8,0.2,1.207,1.6,28.3,128.2,67.8,13.0,1.7,0.1,1.235,1.4,24.9,126.5,76.1,14.3,2.0,0.2,1.103,1.5,20.0,107.7,73.3,14.5,1.8,0.1,0.975,2.0,16.3,90.0,69.8,14.0,1.8,0.1,0.988,1.6,14.6,89.9,73.9,14.6,1.9,0.1,0.953,1.5,12.3,81.8,75.9,15.6,1.9,0.1,0.887,1.2,10.5,69.4,74.6,16.7,1.9,0.1,0.915,1.1,10.1,64.2,83.3,18.4,1.9,0.1,1.024,1.7,11.6,69.8,92.7,22.5,2.4,0.1,0.980,1.3,11.1,61.8,93.0,23.8,2.6,0.1,0.940,1.5,10.0,57.7,91.9,24.5,2.7,0.1,1.045,1.6,11.0,58.0,104.7,31.8,3.5,0.1,1.078,1.6,11.3,59.0,106.7,34.6,4.1,0.1,1.135,1.6,11.1,59.0,113.9,38.0,4.6,0.2,1.049,1.8,10.9,51.3,102.5,38.7,4.4,0.1,1.090,1.5,10.0,49.9,107.7,43.3,4.8,0.1,1.139,1.4,10.1,51.3,110.0,49.5,5.8,0.1,1.095,1.5,9.0,46.2,105.8,50.5,6.2,0.2,0.976,1.1,7.4,40.0,92.3,47.7,6.1,0.1,0.899,1.1,5.7,32.8,86.5,46.0,6.2,0.1,0.827,0.8,5.2,28.8,79.3,42.5,6.6,0.2,0.747,0.7,4.6,24.7,72.5,38.7,6.6,0.1
"대구광역시",1.556,2.8,62.1,174.7,58.6,10.9,1.7,0.2,1.557,2.5,57.0,175.4,62.0,12.5,1.7,0.2,1.574,2.3,56.4,176.2,64.8,12.9,1.8,0.2,1.497,2.0,50.4,168.0,65.7,13.1,2.0,0.1,1.444,2.3,44.5,159.8,68.4,13.5,1.9,0.2,1.336,1.8,38.5,147.2,66.8,12.9,1.8,0.2,1.313,1.6,33.5,144.8,68.1,13.2,1.9,0.1,1.378,1.6,29.5,147.4,79.9,14.4,2.2,0.2,1.216,1.6,23.5,127.4,73.0,14.6,1.9,0.3,1.076,1.5,20.1,106.1,71.6,13.6,1.8,0.2,1.116,1.8,17.8,109.2,77.5,15.1,1.8,0.2,1.087,1.6,15.1,102.4,80.9,15.3,1.8,0.2,1.001,1.7,12.9,87.9,78.3,15.5,1.6,0.1,1.011,1.6,12.3,81.0,84.7,17.1,1.7,0.0,1.137,1.8,14.1,85.3,98.1,20.9,2.3,0.1,1.072,1.5,13.5,75.8,97.3,21.2,2.0,0.1,1.029,1.2,11.5,71.5,96.7,22.2,2.3,0.1,1.109,1.3,11.1,70.9,109.6,27.4,3.2,0.1,1.146,1.2,11.8,70.5,114.4,30.4,3.2,0.2,1.217,1.1,12.4,70.0,122.0,35.5,3.8,0.1,1.127,1.6,10.4,60.1,113.1,35.5,4.1,0.1,1.169,1.3,10.2,60.2,114.7,41.1,4.6,0.1,1.216,1.1,9.3,59.5,120.3,47.0,4.8,0.1,1.186,0.9,9.0,55.8,115.9,48.5,5.2,0.1,1.067,0.8,7.8,47.6,104.0,45.7,5.1,0.2,0.987,0.7,6.5,40.9,96.1,45.2,5.4,0.1,0.932,0.6,5.7,37.1,91.3,43.0,5.8,0.1,0.807,0.6,5.4,29.3,79.6,38.0,5.8,0.2
"인천광역시",1.815,6.1,96.4,182.9,62.1,12.8,2.1,0.1,1.776,5.2,85.5,182.1,65.8,13.9,2.2,0.2,1.714,4.7,80.4,177.6,63.6,13.5,2.4,0.2,1.618,4.0,74.1,166.7,65.3,14.5,2.3,0.1,1.578,3.7,68.2,163.6,66.5,14.2,2.4,0.3,1.477,3.1,57.7,155.3,65.1,14.2,2.4,0.2,1.449,2.7,50.8,152.3,67.4,14.6,2.4,0.4,1.473,2.4,43.5,155.5,75.9,14.8,2.4,0.2,1.324,2.3,34.2,136.2,73.0,15.8,2.4,0.4,1.185,3.3,30.8,115.5,68.6,15.4,2.4,0.2,1.213,2.4,28.3,117.6,74.3,16.6,2.4,0.3,1.158,2.1,22.6,109.2,77.8,16.6,2.3,0.3,1.075,2.1,19.7,94.7,76.3,17.8,2.4,0.2,1.116,2.0,18.5,92.0,84.9,19.8,2.4,0.1,1.257,1.8,21.1,100.2,97.3,24.1,2.9,0.2,1.186,1.2,17.9,86.9,99.3,26.2,3.4,0.2,1.143,1.9,16.3,82.7,98.2,26.5,3.1,0.1,1.214,2.0,15.8,81.0,109.6,31.8,3.9,0.2,1.232,1.9,15.9,79.5,112.3,34.0,4.4,0.2,1.301,1.8,15.6,79.1,120.2,39.6,5.0,0.2,1.195,1.7,13.8,67.3,111.2,40.1,4.8,0.1,1.212,1.7,13.2,63.8,113.6,44.1,5.2,0.1,1.216,1.6,13.1,62.7,113.2,46.6,5.7,0.1,1.144,1.4,12.9,55.7,105.8,46.8,5.4,0.2,1.007,1.2,10.3,46.3,92.0,44.6,5.9,0.1,1.006,1.2,9.1,43.3,92.3,47.1,6.6,0.2,0.940,1.0,8.5,36.2,87.0,46.3,7.1,0.2,0.829,0.8,6.6,30.6,76.9,42.4,6.9,0.2
"광주광역시",1.809,3.9,74.8,195.1,69.0,15.8,2.1,0.4,1.818,3.9,66.7,197.9,74.6,17.1,2.3,0.4,1.830,3.7,65.7,196.9,78.1,18.0,2.4,0.3,1.726,3.3,61.6,182.8,78.9,17.6,2.4,0.3,1.697,3.2,59.4,178.0,79.7,17.7,2.7,0.3,1.613,2.8,52.3,169.7,77.8,18.4,3.0,0.2,1.486,2.9,45.2,154.3,76.0,16.6,2.7,0.3,1.636,3.2,41.3,167.5,91.3,19.9,3.4,0.2,1.421,2.4,34.7,140.4,84.2,18.8,2.7,0.2,1.264,3.8,28.6,121.3,78.0,17.8,2.8,0.3,1.278,3.1,26.8,121.3,84.2,17.0,2.6,0.3,1.203,2.7,22.9,111.8,81.7,18.5,2.5,0.3,1.105,2.0,18.2,97.4,80.6,18.5,2.4,0.2,1.152,2.3,17.6,95.4,89.9,19.6,2.5,0.2,1.262,2.2,18.7,102.0,99.2,24.3,3.0,0.1,1.198,2.1,17.7,90.2,100.3,24.2,3.2,0.2,1.137,1.7,15.5,82.3,98.8,25.7,3.6,0.2,1.223,1.8,16.7,84.3,110.1,29.3,4.0,0.2,1.234,2.0,17.5,83.8,109.9,31.7,4.0,0.2,1.295,1.9,16.8,78.9,122.0,36.1,4.5,0.2,1.170,1.7,14.0,68.1,109.7,35.9,4.5,0.1,1.199,1.7,13.8,65.1,112.3,41.0,4.6,0.2,1.207,1.4,12.6,62.7,113.2,45.0,5.6,0.3,1.168,1.4,11.4,60.4,107.1,45.9,5.6,0.2,1.053,1.2,9.9,50.9,95.9,45.0,5.5,0.2,0.972,1.0,8.7,40.8,91.4,44.1,5.8,0.2,0.913,0.8,7.1,37.3,85.7,42.2,6.6,0.1,0.811,0.6,5.5,30.3,75.9,40.6,6.7,0.2
"대전광역시",1.747,5.2,78.5,182.3,67.3,13.8,1.8,0.1,1.763,5.0,73.7,186.0,69.9,15.0,2.2,0.3,1.739,3.7,68.8,185.4,70.9,15.5,3.0,0.1,1.657,3.4,63.8,173.7,73.8,15.4,2.8,0.3,1.593,3.3,56.6,166.9,74.0,17.0,2.9,0.1,1.492,3.0,48.6,156.8,73.0,15.5,3.2,0.2,1.443,2.7,45.1,149.7,72.5,15.9,2.5,0.3,1.501,2.9,38.7,153.8,84.6,17.6,3.0,0.1,1.330,2.4,30.6,134.7,78.0,17.1,2.6,0.4,1.207,3.4,25.2,114.8,77.7,17.2,2.4,0.3,1.221,2.6,22.9,117.1,81.1,17.8,2.4,0.3,1.181,2.2,19.7,110.4,83.3,17.9,2.4,0.3,1.107,2.1,17.7,95.7,83.9,18.0,2.4,0.2,1.158,2.0,17.6,93.5,92.6,20.9,2.2,0.2,1.274,1.8,17.9,97.8,105.7,25.1,2.8,0.2,1.215,2.2,17.2,88.6,103.8,25.9,3.1,0.1,1.156,2.2,15.2,82.5,102.6,25.8,3.2,0.1,1.205,1.4,16.5,78.4,111.2,31.5,3.5,0.2,1.261,1.9,16.5,80.5,116.6,34.3,4.0,0.2,1.315,2.3,16.1,79.8,122.7,38.2,5.1,0.2,1.234,1.9,14.4,71.1,115.4,39.2,4.6,0.1,1.250,1.8,13.4,67.3,118.0,43.3,5.1,0.2,1.277,1.8,12.4,67.1,120.6,47.9,5.0,0.2,1.192,1.4,12.3,57.9,111.3,49.0,5.4,0.1,1.075,1.5,9.2,51.8,98.8,45.8,5.9,0.2,0.952,1.3,8.3,41.8,88.6,42.9,5.5,0.2,0.883,0.7,7.0,36.7,82.0,42.0,6.1,0.1,0.805,0.8,5.9,30.1,76.1,39.7,6.4,0.2
"울산광역시",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.794,2.5,75.9,196.8,69.7,14.6,2.8,0.2,1.664,2.3,63.6,185.6,68.2,13.2,2.2,0.1,1.605,1.9,55.6,180.3,67.5,13.7,2.3,0.3,1.633,1.7,44.2,184.0,78.6,14.8,2.2,0.2,1.423,1.7,34.6,153.5,75.3,15.7,2.3,0.3,1.242,2.7,26.5,131.1,70.1,14.4,2.3,0.4,1.280,2.2,24.7,135.8,75.6,14.2,2.3,0.4,1.241,2.4,20.5,126.3,80.9,15.3,2.0,0.2,1.186,1.9,19.8,112.6,82.7,15.7,1.9,0.1,1.242,2.1,20.1,112.3,91.4,16.8,1.8,0.1,1.403,2.5,23.5,121.6,105.6,20.5,2.6,0.1,1.338,1.5,20.9,109.4,108.4,22.8,2.2,0.1,1.308,1.3,19.8,105.3,108.7,24.6,2.7,0.0,1.369,1.7,16.7,102.2,125.2,28.3,2.8,0.2,1.393,1.5,14.5,98.0,131.7,33.2,3.0,0.2,1.481,1.4,16.4,102.6,139.9,35.5,3.8,0.1,1.391,1.8,14.5,86.8,132.7,38.7,3.9,0.1,1.437,1.3,15.4,85.1,135.0,44.9,4.6,0.1,1.486,1.6,13.5,85.4,142.1,49.1,4.7,0.1,1.418,1.3,12.8,77.9,132.9,51.9,5.1,0.1,1.261,1.1,11.5,66.5,117.8,47.0,5.9,0.2,1.131,0.8,9.2,55.7,106.7,45.6,6.0,0.1,1.084,0.9,7.9,48.6,107.0,43.6,6.2,0.2,0.984,0.5,7.0,42.7,99.4,39.4,6.0,0.1
