species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,id
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,1620
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,1969
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,1565
Adelie,Dream,42.2,18.5,180.0,3550.0,Female,1338
Adelie,Dream,39.2,18.6,190.0,4250.0,Male,1292
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,1458
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,1510
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,1336
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,1649
Chinstrap,Dream,46.5,17.9,192.0,3.5,Female,1348
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,1285
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,1988
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,1399
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,1377
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,1773
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,1666
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,1619
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,1491
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,1606
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,1432
Adelie,Torgersen,37.7,19.8,198.0,3.5,Male,1835
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,1322
Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,1366
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,1879
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,1258
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,1321
Gentoo,Biscoe,43.5,14.2,220.0,4.7,Female,1911
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,1271
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,1525
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,1264
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,1062
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,1122
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,1371
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,1647
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,1674
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,1804
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,1813
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,1116
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,1957
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,1912
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,1398
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,1344
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,1663
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,1751
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,1548
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,1056
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,1909
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,1054
Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,1779
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,1982
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,1080
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,1158
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,1415
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,1462
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,1252
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,1849
Adelie,Torgersen,38.8,17.6,191.0,3.275,Female,1507
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,1410
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,1947
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,1154
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,1406
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,1056
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,1951
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,1372
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,1374
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,1722
Adelie,Torgersen,34.6,17.2,189.0,3.2,Female,1466
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,1209
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,1656
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,1274
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,1790
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,1060
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,1911
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,1818
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,1121
Gentoo,Biscoe,50.4,15.3,224.0,5.55,Male,1102
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,1801
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,1564
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,1630
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,1656
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,1357
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,1699
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,1190
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,1752
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,1462
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,1374
Adelie,Biscoe,35.9,19.2,189.0,3.8,Female,1186
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,1893
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,1773
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,1034
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,1387
Gentoo,Biscoe,42.8,14.2,209.0,4.7,Female,1099
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,1659
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,1069
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,1484
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,1080
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,1401
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,1241
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,1695
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,1887
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,1110
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,1257
